task,C,pooled_random,cross_subject,leakage_inflation
imagery_left_right_fist,0.001,0.580789,0.601288,-0.020499
imagery_left_right_fist,0.01,0.648209,0.620122,0.0280871
imagery_left_right_fist,0.1,0.670085,0.618803,0.0512821
imagery_left_right_fist,1.0,0.642605,0.593128,0.0494769
imagery_left_right_fist,10.0,0.617672,0.575156,0.0425157
imagery_left_right_fist,100.0,0.604506,0.571817,0.0326894
real_left_right_fist,0.001,0.616241,0.627407,-0.0111664
real_left_right_fist,0.01,0.704705,0.665355,0.0393504
real_left_right_fist,0.1,0.739555,0.664661,0.074894
real_left_right_fist,1.0,0.716523,0.647358,0.0691644
real_left_right_fist,10.0,0.682148,0.627975,0.0541732
real_left_right_fist,100.0,0.675694,0.621669,0.0540243
imagery_fists_feet,0.001,0.596691,0.620494,-0.0238025
imagery_fists_feet,0.01,0.649645,0.618434,0.0312104
imagery_fists_feet,0.1,0.661619,0.600567,0.0610519
imagery_fists_feet,1.0,0.62726,0.572461,0.0547998
imagery_fists_feet,10.0,0.602957,0.562698,0.040259
imagery_fists_feet,100.0,0.594459,0.551121,0.0433377
real_fists_feet,0.001,0.677348,0.658171,0.0191767
real_fists_feet,0.01,0.746611,0.675977,0.0706344
real_fists_feet,0.1,0.780565,0.680957,0.0996088
real_fists_feet,1.0,0.749725,0.661635,0.0880892
real_fists_feet,10.0,0.72528,0.651011,0.0742697
real_fists_feet,100.0,0.725066,0.644813,0.080253
