task,model,protocol,subject,accuracy
imagery_left_right_fist,csp_lda,pooled_random,1,0.666667
imagery_left_right_fist,csp_lda,pooled_random,2,0.733333
imagery_left_right_fist,csp_lda,pooled_random,3,0.422222
imagery_left_right_fist,csp_lda,pooled_random,4,0.533333
imagery_left_right_fist,csp_lda,pooled_random,5,0.488889
imagery_left_right_fist,csp_lda,pooled_random,6,0.466667
imagery_left_right_fist,csp_lda,pooled_random,7,0.844444
imagery_left_right_fist,csp_lda,pooled_random,8,0.488889
imagery_left_right_fist,csp_lda,pooled_random,9,0.533333
imagery_left_right_fist,csp_lda,pooled_random,10,0.533333
imagery_left_right_fist,csp_lda,pooled_random,11,0.488889
imagery_left_right_fist,csp_lda,pooled_random,12,0.6
imagery_left_right_fist,csp_lda,pooled_random,13,0.511111
imagery_left_right_fist,csp_lda,pooled_random,14,0.533333
imagery_left_right_fist,csp_lda,pooled_random,15,0.622222
imagery_left_right_fist,csp_lda,pooled_random,16,0.622222
imagery_left_right_fist,csp_lda,pooled_random,17,0.6
imagery_left_right_fist,csp_lda,pooled_random,18,0.644444
imagery_left_right_fist,csp_lda,pooled_random,19,0.533333
imagery_left_right_fist,csp_lda,pooled_random,20,0.577778
imagery_left_right_fist,csp_lda,pooled_random,21,0.488889
imagery_left_right_fist,csp_lda,pooled_random,22,0.511111
imagery_left_right_fist,csp_lda,pooled_random,23,0.555556
imagery_left_right_fist,csp_lda,pooled_random,24,0.533333
imagery_left_right_fist,csp_lda,pooled_random,25,0.644444
imagery_left_right_fist,csp_lda,pooled_random,26,0.533333
imagery_left_right_fist,csp_lda,pooled_random,27,0.488889
imagery_left_right_fist,csp_lda,pooled_random,28,0.488889
imagery_left_right_fist,csp_lda,pooled_random,29,0.822222
imagery_left_right_fist,csp_lda,pooled_random,30,0.622222
imagery_left_right_fist,csp_lda,pooled_random,31,0.911111
imagery_left_right_fist,csp_lda,pooled_random,32,0.822222
imagery_left_right_fist,csp_lda,pooled_random,33,0.733333
imagery_left_right_fist,csp_lda,pooled_random,34,0.837209
imagery_left_right_fist,csp_lda,pooled_random,35,0.711111
imagery_left_right_fist,csp_lda,pooled_random,36,0.466667
imagery_left_right_fist,csp_lda,pooled_random,37,0.511628
imagery_left_right_fist,csp_lda,pooled_random,38,0.444444
imagery_left_right_fist,csp_lda,pooled_random,39,0.511111
imagery_left_right_fist,csp_lda,pooled_random,40,0.533333
imagery_left_right_fist,csp_lda,pooled_random,41,0.636364
imagery_left_right_fist,csp_lda,pooled_random,42,0.777778
imagery_left_right_fist,csp_lda,pooled_random,43,0.666667
imagery_left_right_fist,csp_lda,pooled_random,44,0.644444
imagery_left_right_fist,csp_lda,pooled_random,45,0.533333
imagery_left_right_fist,csp_lda,pooled_random,46,0.511111
imagery_left_right_fist,csp_lda,pooled_random,47,0.488889
imagery_left_right_fist,csp_lda,pooled_random,48,0.644444
imagery_left_right_fist,csp_lda,pooled_random,49,0.755556
imagery_left_right_fist,csp_lda,pooled_random,50,0.533333
imagery_left_right_fist,csp_lda,pooled_random,51,0.533333
imagery_left_right_fist,csp_lda,pooled_random,52,0.6
imagery_left_right_fist,csp_lda,pooled_random,53,0.466667
imagery_left_right_fist,csp_lda,pooled_random,54,0.711111
imagery_left_right_fist,csp_lda,pooled_random,55,0.688889
imagery_left_right_fist,csp_lda,pooled_random,56,0.666667
imagery_left_right_fist,csp_lda,pooled_random,57,0.555556
imagery_left_right_fist,csp_lda,pooled_random,58,0.533333
imagery_left_right_fist,csp_lda,pooled_random,59,0.466667
imagery_left_right_fist,csp_lda,pooled_random,60,0.666667
imagery_left_right_fist,csp_lda,pooled_random,61,0.555556
imagery_left_right_fist,csp_lda,pooled_random,62,0.8
imagery_left_right_fist,csp_lda,pooled_random,63,0.533333
imagery_left_right_fist,csp_lda,pooled_random,64,0.5
imagery_left_right_fist,csp_lda,pooled_random,65,0.555556
imagery_left_right_fist,csp_lda,pooled_random,66,0.422222
imagery_left_right_fist,csp_lda,pooled_random,67,0.533333
imagery_left_right_fist,csp_lda,pooled_random,68,0.622222
imagery_left_right_fist,csp_lda,pooled_random,69,0.644444
imagery_left_right_fist,csp_lda,pooled_random,70,0.666667
imagery_left_right_fist,csp_lda,pooled_random,71,0.755556
imagery_left_right_fist,csp_lda,pooled_random,72,0.930233
imagery_left_right_fist,csp_lda,pooled_random,73,0.714286
imagery_left_right_fist,csp_lda,pooled_random,74,0.581395
imagery_left_right_fist,csp_lda,pooled_random,75,0.711111
imagery_left_right_fist,csp_lda,pooled_random,76,0.452381
imagery_left_right_fist,csp_lda,pooled_random,77,0.4
imagery_left_right_fist,csp_lda,pooled_random,78,0.466667
imagery_left_right_fist,csp_lda,pooled_random,79,0.555556
imagery_left_right_fist,csp_lda,pooled_random,80,0.577778
imagery_left_right_fist,csp_lda,pooled_random,81,0.488889
imagery_left_right_fist,csp_lda,pooled_random,82,0.533333
imagery_left_right_fist,csp_lda,pooled_random,83,0.622222
imagery_left_right_fist,csp_lda,pooled_random,84,0.555556
imagery_left_right_fist,csp_lda,pooled_random,85,0.711111
imagery_left_right_fist,csp_lda,pooled_random,86,0.755556
imagery_left_right_fist,csp_lda,pooled_random,87,0.488889
imagery_left_right_fist,csp_lda,pooled_random,88,0.508772
imagery_left_right_fist,csp_lda,pooled_random,89,0.644444
imagery_left_right_fist,csp_lda,pooled_random,90,0.533333
imagery_left_right_fist,csp_lda,pooled_random,91,0.511111
imagery_left_right_fist,csp_lda,pooled_random,92,0.526316
imagery_left_right_fist,csp_lda,pooled_random,93,0.688889
imagery_left_right_fist,csp_lda,pooled_random,94,0.577778
imagery_left_right_fist,csp_lda,pooled_random,95,0.488889
imagery_left_right_fist,csp_lda,pooled_random,96,0.466667
imagery_left_right_fist,csp_lda,pooled_random,97,0.511111
imagery_left_right_fist,csp_lda,pooled_random,98,0.4
imagery_left_right_fist,csp_lda,pooled_random,99,0.488889
imagery_left_right_fist,csp_lda,pooled_random,100,0.472222
imagery_left_right_fist,csp_lda,pooled_random,101,0.444444
imagery_left_right_fist,csp_lda,pooled_random,102,0.52381
imagery_left_right_fist,csp_lda,pooled_random,103,0.688889
imagery_left_right_fist,csp_lda,pooled_random,104,0.357143
imagery_left_right_fist,csp_lda,pooled_random,105,0.555556
imagery_left_right_fist,csp_lda,pooled_random,106,0.533333
imagery_left_right_fist,csp_lda,pooled_random,107,0.533333
imagery_left_right_fist,csp_lda,pooled_random,108,0.466667
imagery_left_right_fist,csp_lda,pooled_random,109,0.333333
imagery_left_right_fist,csp_lda,within_subject,1,0.644444
imagery_left_right_fist,csp_lda,within_subject,2,0.8
imagery_left_right_fist,csp_lda,within_subject,3,0.488889
imagery_left_right_fist,csp_lda,within_subject,4,0.511111
imagery_left_right_fist,csp_lda,within_subject,5,0.622222
imagery_left_right_fist,csp_lda,within_subject,6,0.577778
imagery_left_right_fist,csp_lda,within_subject,7,0.955556
