dataset,task,model,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260916,trial0,2160,432,1836,324,0.806019,0.756173,0.74537,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260916,trial1,2160,432,1836,324,0.798148,0.762346,0.715278,17,23,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260916,trial2,2160,432,1836,324,0.766204,0.743827,0.726852,10,16,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260916,trial3,2160,432,1836,324,0.819907,0.765432,0.726852,26,32,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260916,trial4,2160,432,1836,324,0.828704,0.774691,0.738426,28,34,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260916,trial5,2160,432,1836,324,0.7875,0.753086,0.747685,17,23,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260917,trial0,2160,432,1836,324,0.727778,0.697531,0.680556,6,12,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260917,trial1,2160,432,1836,324,0.688889,0.660494,0.657407,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260917,trial2,2160,432,1836,324,0.75463,0.716049,0.696759,8,14,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260917,trial3,2160,432,1836,324,0.8,0.734568,0.747685,19,25,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260917,trial4,2160,432,1836,324,0.758333,0.762346,0.706019,8,14,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260917,trial5,2160,432,1836,324,0.714815,0.691358,0.678241,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260918,trial0,2160,432,1836,324,0.844444,0.79321,0.763889,34,40,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260918,trial1,2160,432,1836,324,0.822222,0.802469,0.756944,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260918,trial2,2160,432,1836,324,0.809259,0.790123,0.752315,17,23,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260918,trial3,2160,432,1836,324,0.768056,0.737654,0.736111,12,18,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260918,trial4,2160,432,1836,324,0.555556,0.540123,0.506944,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_6,20260918,trial5,2160,432,1836,324,0.808333,0.746914,0.724537,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_2,20260916,trial0,1296,1296,1101,195,0.679784,0.671795,0.679012,12,18,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_2,20260916,trial1,1296,1296,1101,195,0.709877,0.666667,0.673611,12,18,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_2,20260917,trial0,1296,1296,1101,195,0.71142,0.692308,0.675154,11,17,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_2,20260917,trial1,1296,1296,1101,195,0.826389,0.748718,0.722222,33,39,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_2,20260918,trial0,1296,1296,1101,195,0.543981,0.517949,0.520833,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,trial_random_2,20260918,trial1,1296,1296,1101,195,0.736111,0.707692,0.653549,9,15,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,run0,2160,432,1836,324,0.777315,0.737654,0.74537,10,16,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,run1,2160,432,1836,324,0.793056,0.756173,0.729167,17,23,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,run2,2160,432,1836,324,0.664815,0.648148,0.652778,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,run3,2160,432,1836,324,0.793056,0.728395,0.743056,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,run4,2160,432,1836,324,0.779167,0.725309,0.726852,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,run5,2160,432,1836,324,0.637963,0.645062,0.608796,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,run0,2160,432,1836,324,0.714815,0.666667,0.685185,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,run1,2160,432,1836,324,0.728704,0.712963,0.722222,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,run2,2160,432,1836,324,0.805556,0.768519,0.726852,18,24,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,run3,2160,432,1836,324,0.796296,0.756173,0.752315,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,run4,2160,432,1836,324,0.795833,0.746914,0.740741,18,24,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,run5,2160,432,1836,324,0.737037,0.716049,0.69213,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,run0,2160,432,1836,324,0.819907,0.790123,0.780093,19,25,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,run1,2160,432,1836,324,0.818056,0.796296,0.775463,24,30,2450
