task,model,k,draw,subject,n_test,accuracy
imagery_left_right_fist,csp_lda,0,0,1,15,0.733333
imagery_left_right_fist,csp_lda,4,0,1,15,0.733333
imagery_left_right_fist,csp_lda,8,0,1,15,0.733333
imagery_left_right_fist,csp_lda,16,0,1,15,0.733333
imagery_left_right_fist,csp_lda,30,0,1,15,0.733333
imagery_left_right_fist,csp_lda,4,1,1,15,0.8
imagery_left_right_fist,csp_lda,8,1,1,15,0.733333
imagery_left_right_fist,csp_lda,16,1,1,15,0.733333
imagery_left_right_fist,csp_lda,30,1,1,15,0.733333
imagery_left_right_fist,csp_lda,4,2,1,15,0.733333
imagery_left_right_fist,csp_lda,8,2,1,15,0.733333
imagery_left_right_fist,csp_lda,16,2,1,15,0.733333
imagery_left_right_fist,csp_lda,30,2,1,15,0.733333
imagery_left_right_fist,csp_lda,0,0,5,15,0.6
imagery_left_right_fist,csp_lda,4,0,5,15,0.666667
imagery_left_right_fist,csp_lda,8,0,5,15,0.666667
imagery_left_right_fist,csp_lda,16,0,5,15,0.666667
imagery_left_right_fist,csp_lda,30,0,5,15,0.533333
imagery_left_right_fist,csp_lda,4,1,5,15,0.666667
imagery_left_right_fist,csp_lda,8,1,5,15,0.6
imagery_left_right_fist,csp_lda,16,1,5,15,0.666667
imagery_left_right_fist,csp_lda,30,1,5,15,0.533333
imagery_left_right_fist,csp_lda,4,2,5,15,0.666667
imagery_left_right_fist,csp_lda,8,2,5,15,0.666667
imagery_left_right_fist,csp_lda,16,2,5,15,0.666667
imagery_left_right_fist,csp_lda,30,2,5,15,0.533333
imagery_left_right_fist,csp_lda,0,0,6,15,0.4
imagery_left_right_fist,csp_lda,4,0,6,15,0.333333
imagery_left_right_fist,csp_lda,8,0,6,15,0.333333
imagery_left_right_fist,csp_lda,16,0,6,15,0.333333
imagery_left_right_fist,csp_lda,30,0,6,15,0.333333
imagery_left_right_fist,csp_lda,4,1,6,15,0.4
imagery_left_right_fist,csp_lda,8,1,6,15,0.4
imagery_left_right_fist,csp_lda,16,1,6,15,0.266667
imagery_left_right_fist,csp_lda,30,1,6,15,0.333333
imagery_left_right_fist,csp_lda,4,2,6,15,0.333333
imagery_left_right_fist,csp_lda,8,2,6,15,0.266667
imagery_left_right_fist,csp_lda,16,2,6,15,0.4
imagery_left_right_fist,csp_lda,30,2,6,15,0.333333
imagery_left_right_fist,csp_lda,0,0,13,15,0.733333
imagery_left_right_fist,csp_lda,4,0,13,15,0.666667
imagery_left_right_fist,csp_lda,8,0,13,15,0.666667
imagery_left_right_fist,csp_lda,16,0,13,15,0.733333
imagery_left_right_fist,csp_lda,30,0,13,15,0.733333
imagery_left_right_fist,csp_lda,4,1,13,15,0.6
imagery_left_right_fist,csp_lda,8,1,13,15,0.666667
imagery_left_right_fist,csp_lda,16,1,13,15,0.733333
imagery_left_right_fist,csp_lda,30,1,13,15,0.733333
imagery_left_right_fist,csp_lda,4,2,13,15,0.666667
imagery_left_right_fist,csp_lda,8,2,13,15,0.666667
imagery_left_right_fist,csp_lda,16,2,13,15,0.733333
imagery_left_right_fist,csp_lda,30,2,13,15,0.733333
imagery_left_right_fist,csp_lda,0,0,15,15,0.666667
imagery_left_right_fist,csp_lda,4,0,15,15,0.666667
imagery_left_right_fist,csp_lda,8,0,15,15,0.666667
imagery_left_right_fist,csp_lda,16,0,15,15,0.666667
imagery_left_right_fist,csp_lda,30,0,15,15,0.666667
imagery_left_right_fist,csp_lda,4,1,15,15,0.666667
imagery_left_right_fist,csp_lda,8,1,15,15,0.666667
imagery_left_right_fist,csp_lda,16,1,15,15,0.666667
imagery_left_right_fist,csp_lda,30,1,15,15,0.666667
imagery_left_right_fist,csp_lda,4,2,15,15,0.666667
imagery_left_right_fist,csp_lda,8,2,15,15,0.666667
imagery_left_right_fist,csp_lda,16,2,15,15,0.666667
imagery_left_right_fist,csp_lda,30,2,15,15,0.666667
imagery_left_right_fist,csp_lda,0,0,16,15,0.733333
imagery_left_right_fist,csp_lda,4,0,16,15,0.733333
imagery_left_right_fist,csp_lda,8,0,16,15,0.733333
imagery_left_right_fist,csp_lda,16,0,16,15,0.733333
imagery_left_right_fist,csp_lda,30,0,16,15,0.733333
imagery_left_right_fist,csp_lda,4,1,16,15,0.733333
imagery_left_right_fist,csp_lda,8,1,16,15,0.733333
imagery_left_right_fist,csp_lda,16,1,16,15,0.733333
imagery_left_right_fist,csp_lda,30,1,16,15,0.733333
imagery_left_right_fist,csp_lda,4,2,16,15,0.733333
imagery_left_right_fist,csp_lda,8,2,16,15,0.733333
imagery_left_right_fist,csp_lda,16,2,16,15,0.733333
imagery_left_right_fist,csp_lda,30,2,16,15,0.733333
imagery_left_right_fist,csp_lda,0,0,17,15,0.533333
imagery_left_right_fist,csp_lda,4,0,17,15,0.533333
imagery_left_right_fist,csp_lda,8,0,17,15,0.533333
imagery_left_right_fist,csp_lda,16,0,17,15,0.533333
imagery_left_right_fist,csp_lda,30,0,17,15,0.533333
imagery_left_right_fist,csp_lda,4,1,17,15,0.533333
imagery_left_right_fist,csp_lda,8,1,17,15,0.533333
imagery_left_right_fist,csp_lda,16,1,17,15,0.533333
imagery_left_right_fist,csp_lda,30,1,17,15,0.533333
imagery_left_right_fist,csp_lda,4,2,17,15,0.533333
imagery_left_right_fist,csp_lda,8,2,17,15,0.533333
imagery_left_right_fist,csp_lda,16,2,17,15,0.533333
imagery_left_right_fist,csp_lda,30,2,17,15,0.533333
imagery_left_right_fist,csp_lda,0,0,23,15,0.6
imagery_left_right_fist,csp_lda,4,0,23,15,0.6
imagery_left_right_fist,csp_lda,8,0,23,15,0.6
imagery_left_right_fist,csp_lda,16,0,23,15,0.6
imagery_left_right_fist,csp_lda,30,0,23,15,0.533333
imagery_left_right_fist,csp_lda,4,1,23,15,0.6
imagery_left_right_fist,csp_lda,8,1,23,15,0.6
imagery_left_right_fist,csp_lda,16,1,23,15,0.6
imagery_left_right_fist,csp_lda,30,1,23,15,0.533333
imagery_left_right_fist,csp_lda,4,2,23,15,0.6
imagery_left_right_fist,csp_lda,8,2,23,15,0.6
imagery_left_right_fist,csp_lda,16,2,23,15,0.6
imagery_left_right_fist,csp_lda,30,2,23,15,0.533333
imagery_left_right_fist,csp_lda,0,0,31,15,0.8
imagery_left_right_fist,csp_lda,4,0,31,15,0.8
imagery_left_right_fist,csp_lda,8,0,31,15,0.8
imagery_left_right_fist,csp_lda,16,0,31,15,0.8
imagery_left_right_fist,csp_lda,30,0,31,15,0.8
imagery_left_right_fist,csp_lda,4,1,31,15,0.8
imagery_left_right_fist,csp_lda,8,1,31,15,0.8
imagery_left_right_fist,csp_lda,16,1,31,15,0.8
imagery_left_right_fist,csp_lda,30,1,31,15,0.8
imagery_left_right_fist,csp_lda,4,2,31,15,0.8
imagery_left_right_fist,csp_lda,8,2,31,15,0.8
imagery_left_right_fist,csp_lda,16,2,31,15,0.8
imagery_left_right_fist,csp_lda,30,2,31,15,0.8
imagery_left_right_fist,csp_lda,0,0,32,15,0.8
imagery_left_right_fist,csp_lda,4,0,32,15,0.8
imagery_left_right_fist,csp_lda,8,0,32,15,0.8
imagery_left_right_fist,csp_lda,16,0,32,15,0.8
