dataset,task,protocol,subject,n_test,acc_inductive,acc_transductive,delta
eegbci,imagery_left_right_fist,subject_disjoint,1,45,0.688889,0.711111,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,2,45,0.866667,0.866667,0
eegbci,imagery_left_right_fist,subject_disjoint,3,45,0.422222,0.4,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,4,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,5,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,6,45,0.4,0.4,0
eegbci,imagery_left_right_fist,subject_disjoint,7,45,0.511111,0.511111,0
eegbci,imagery_left_right_fist,subject_disjoint,8,45,0.577778,0.577778,0
eegbci,imagery_left_right_fist,subject_disjoint,9,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,10,45,0.511111,0.511111,0
eegbci,imagery_left_right_fist,subject_disjoint,11,45,0.511111,0.511111,0
eegbci,imagery_left_right_fist,subject_disjoint,12,45,0.444444,0.444444,0
eegbci,imagery_left_right_fist,subject_disjoint,13,45,0.622222,0.622222,0
eegbci,imagery_left_right_fist,subject_disjoint,14,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,15,45,0.688889,0.688889,0
eegbci,imagery_left_right_fist,subject_disjoint,16,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,17,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,18,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,19,45,0.511111,0.511111,0
eegbci,imagery_left_right_fist,subject_disjoint,20,45,0.644444,0.644444,0
eegbci,imagery_left_right_fist,subject_disjoint,21,45,0.466667,0.466667,0
eegbci,imagery_left_right_fist,subject_disjoint,22,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,23,45,0.644444,0.644444,0
eegbci,imagery_left_right_fist,subject_disjoint,24,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,25,45,0.555556,0.555556,0
eegbci,imagery_left_right_fist,subject_disjoint,26,45,0.666667,0.666667,0
eegbci,imagery_left_right_fist,subject_disjoint,27,45,0.733333,0.711111,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,28,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,29,45,0.755556,0.711111,-0.0444444
eegbci,imagery_left_right_fist,subject_disjoint,30,45,0.577778,0.555556,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,31,45,0.822222,0.822222,0
eegbci,imagery_left_right_fist,subject_disjoint,32,45,0.644444,0.644444,0
eegbci,imagery_left_right_fist,subject_disjoint,33,45,0.755556,0.777778,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,34,43,0.813953,0.790698,-0.0232558
eegbci,imagery_left_right_fist,subject_disjoint,35,45,0.711111,0.711111,0
eegbci,imagery_left_right_fist,subject_disjoint,36,45,0.533333,0.555556,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,37,43,0.604651,0.604651,0
eegbci,imagery_left_right_fist,subject_disjoint,38,45,0.466667,0.466667,0
eegbci,imagery_left_right_fist,subject_disjoint,39,45,0.4,0.422222,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,40,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,41,44,0.590909,0.590909,0
eegbci,imagery_left_right_fist,subject_disjoint,42,45,0.933333,0.933333,0
eegbci,imagery_left_right_fist,subject_disjoint,43,45,0.555556,0.577778,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,44,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,45,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,46,45,0.6,0.6,0
eegbci,imagery_left_right_fist,subject_disjoint,47,45,0.333333,0.333333,0
eegbci,imagery_left_right_fist,subject_disjoint,48,45,0.622222,0.622222,0
eegbci,imagery_left_right_fist,subject_disjoint,49,45,0.688889,0.688889,0
eegbci,imagery_left_right_fist,subject_disjoint,50,45,0.6,0.622222,0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,51,45,0.8,0.8,0
eegbci,imagery_left_right_fist,subject_disjoint,52,45,0.6,0.6,0
eegbci,imagery_left_right_fist,subject_disjoint,53,45,0.466667,0.466667,0
eegbci,imagery_left_right_fist,subject_disjoint,54,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,55,45,0.688889,0.688889,0
eegbci,imagery_left_right_fist,subject_disjoint,56,45,0.733333,0.733333,0
eegbci,imagery_left_right_fist,subject_disjoint,57,45,0.711111,0.688889,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,58,45,0.488889,0.488889,0
eegbci,imagery_left_right_fist,subject_disjoint,59,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,60,45,0.711111,0.711111,0
eegbci,imagery_left_right_fist,subject_disjoint,61,45,0.533333,0.533333,0
eegbci,imagery_left_right_fist,subject_disjoint,62,45,0.688889,0.666667,-0.0222222
eegbci,imagery_left_right_fist,subject_disjoint,63,45,0.444444,0.444444,0
eegbci,imagery_left_right_fist,subject_disjoint,64,44,0.613636,0.636364,0.0227273
eegbci,imagery_left_right_fist,subject_disjoint,65,45,0.644444,0.644444,0
eegbci,imagery_left_right_fist,subject_disjoint,66,45,0.577778,0.577778,0
