task,protocol,seed,n_subjects,subject_prior_accuracy_mean,ci_low,ci_high,corr_train_test_class_fraction,n_cells
imagery_left_right_fist,trial_random,20260916,109,0.431171,0.420812,0.440957,-0.836641,327
imagery_left_right_fist,trial_random,20260917,109,0.414605,0.40532,0.423526,-0.848451,327
imagery_left_right_fist,trial_random,20260918,109,0.42399,0.415015,0.433269,-0.856733,327
imagery_left_right_fist,trial_random,20260919,109,0.416132,0.406002,0.425967,-0.844072,327
imagery_left_right_fist,trial_random,20260920,109,0.424584,0.414376,0.434626,-0.828872,327
imagery_left_right_fist,run_disjoint,20260916,109,0.500326,0.49531,0.505246,-0.0550255,327
imagery_left_right_fist,subject_disjoint,20260916,109,0.504343,0.501209,0.507739,nan,0
imagery_left_right_fist,subject_disjoint,20260917,109,0.504343,0.501209,0.507739,nan,0
imagery_left_right_fist,subject_disjoint,20260918,109,0.504343,0.501209,0.507739,nan,0
imagery_left_right_fist,subject_disjoint,20260919,109,0.504343,0.501209,0.507739,nan,0
imagery_left_right_fist,subject_disjoint,20260920,109,0.504343,0.501209,0.507739,nan,0
real_left_right_fist,trial_random,20260916,109,0.422717,0.412675,0.432695,-0.852319,327
real_left_right_fist,trial_random,20260917,109,0.421601,0.412403,0.430656,-0.850971,327
real_left_right_fist,trial_random,20260918,109,0.419699,0.409614,0.429536,-0.863432,327
real_left_right_fist,trial_random,20260919,109,0.415879,0.406069,0.425392,-0.876384,327
real_left_right_fist,trial_random,20260920,109,0.419641,0.409842,0.42977,-0.854884,327
real_left_right_fist,run_disjoint,20260916,109,0.497275,0.492474,0.502013,-0.115149,327
real_left_right_fist,subject_disjoint,20260916,109,0.500671,0.497515,0.503772,nan,0
real_left_right_fist,subject_disjoint,20260917,109,0.498589,0.495552,0.501605,nan,0
real_left_right_fist,subject_disjoint,20260918,109,0.500671,0.497515,0.503772,nan,0
real_left_right_fist,subject_disjoint,20260919,109,0.499244,0.496163,0.502265,nan,0
real_left_right_fist,subject_disjoint,20260920,109,0.498761,0.495692,0.501755,nan,0
imagery_fists_feet,trial_random,20260916,109,0.427852,0.417721,0.437036,-0.80398,327
imagery_fists_feet,trial_random,20260917,109,0.426034,0.415133,0.436104,-0.810847,327
imagery_fists_feet,trial_random,20260918,109,0.422225,0.412479,0.4322,-0.832134,327
imagery_fists_feet,trial_random,20260919,109,0.421987,0.411738,0.432173,-0.830143,327
imagery_fists_feet,trial_random,20260920,109,0.423942,0.413482,0.435038,-0.817363,327
imagery_fists_feet,run_disjoint,20260916,109,0.500614,0.495186,0.50561,0.122826,327
imagery_fists_feet,subject_disjoint,20260916,109,0.496067,0.492461,0.499651,nan,0
imagery_fists_feet,subject_disjoint,20260917,109,0.498514,0.494694,0.502248,nan,0
imagery_fists_feet,subject_disjoint,20260918,109,0.499168,0.49538,0.503075,nan,0
imagery_fists_feet,subject_disjoint,20260919,109,0.496143,0.492563,0.499829,nan,0
imagery_fists_feet,subject_disjoint,20260920,109,0.497409,0.493808,0.501069,nan,0
real_fists_feet,trial_random,20260916,109,0.428803,0.419745,0.4377,-0.817801,327
real_fists_feet,trial_random,20260917,109,0.41315,0.4041,0.422198,-0.846615,327
real_fists_feet,trial_random,20260918,109,0.420701,0.411831,0.429833,-0.8379,327
real_fists_feet,trial_random,20260919,109,0.426212,0.416568,0.435707,-0.822598,327
real_fists_feet,trial_random,20260920,109,0.426351,0.416657,0.435226,-0.83523,327
real_fists_feet,run_disjoint,20260916,109,0.497911,0.493056,0.502798,-0.0816114,327
real_fists_feet,subject_disjoint,20260916,109,0.501819,0.498417,0.505108,nan,0
real_fists_feet,subject_disjoint,20260917,109,0.501819,0.498417,0.505108,nan,0
real_fists_feet,subject_disjoint,20260918,109,0.501819,0.498417,0.505108,nan,0
real_fists_feet,subject_disjoint,20260919,109,0.497774,0.494576,0.500982,nan,0
real_fists_feet,subject_disjoint,20260920,109,0.501819,0.498417,0.505108,nan,0
