dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260916,trial0,2160,432,0.702315,0.726852
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,trial0,2160,432,0.811111,0.775463
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260916,trial1,2160,432,0.710648,0.694444
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,trial1,2160,432,0.823148,0.724537
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260916,trial2,2160,432,0.696759,0.703704
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,trial2,2160,432,0.820833,0.763889
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260916,trial3,2160,432,0.707407,0.675926
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,trial3,2160,432,0.812963,0.74537
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260916,trial4,2160,432,0.709722,0.69213
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,trial4,2160,432,0.817593,0.743056
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260916,trial5,2160,432,0.699074,0.696759
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260916,trial5,2160,432,0.814352,0.756944
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260917,trial0,2160,432,0.716204,0.708333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,trial0,2160,432,0.81713,0.775463
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260917,trial1,2160,432,0.708333,0.6875
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,trial1,2160,432,0.808796,0.787037
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260917,trial2,2160,432,0.7,0.6875
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,trial2,2160,432,0.819444,0.759259
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260917,trial3,2160,432,0.675926,0.655093
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,trial3,2160,432,0.818981,0.743056
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260917,trial4,2160,432,0.712963,0.706019
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,trial4,2160,432,0.817593,0.768519
bci2a,bci2a_left_right,csp_lda,trial_random_6,20260917,trial5,2160,432,0.70463,0.708333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260917,trial5,2160,432,0.813889,0.747685
