dataset,task,model,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,csp_lda,loso,20260916,1,288,0.659722
bci2a,bci2a_left_right,csp_lda,loso,20260916,2,288,0.541667
bci2a,bci2a_left_right,csp_lda,loso,20260916,3,288,0.746528
bci2a,bci2a_left_right,csp_lda,loso,20260916,4,288,0.666667
bci2a,bci2a_left_right,csp_lda,loso,20260916,5,288,0.541667
bci2a,bci2a_left_right,csp_lda,loso,20260916,6,288,0.541667
bci2a,bci2a_left_right,csp_lda,loso,20260916,7,288,0.611111
bci2a,bci2a_left_right,csp_lda,loso,20260916,8,288,0.895833
bci2a,bci2a_left_right,csp_lda,loso,20260916,9,288,0.701389
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,1,288,0.795139
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,2,288,0.555556
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,3,288,0.881944
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,4,288,0.690972
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,5,288,0.538194
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,6,288,0.600694
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,7,288,0.645833
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,8,288,0.940972
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,9,288,0.711806
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,1,288,0.729167
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,2,288,0.510417
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,3,288,0.805556
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,4,288,0.666667
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,5,288,0.555556
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,6,288,0.590278
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,7,288,0.611111
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,8,288,0.9375
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,9,288,0.725694
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,1,288,0.715278
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,2,288,0.538194
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,3,288,0.746528
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,4,288,0.694444
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,5,288,0.527778
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,6,288,0.565972
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,7,288,0.600694
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,8,288,0.895833
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,9,288,0.663194
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,1,288,0.642361
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,2,288,0.513889
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,3,288,0.809028
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,4,288,0.524306
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,5,288,0.513889
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,6,288,0.520833
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,7,288,0.642361
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,8,288,0.895833
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,9,288,0.690972
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,1,288,0.659722
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,2,288,0.538194
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,3,288,0.746528
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,4,288,0.694444
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,5,288,0.513889
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,6,288,0.565972
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,7,288,0.652778
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,8,288,0.916667
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,9,288,0.684028
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,1,288,0.819444
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,2,288,0.503472
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,3,288,0.746528
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,4,288,0.666667
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,5,288,0.527778
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,6,288,0.635417
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,7,288,0.600694
