dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260916,trial0,3265,1633,0.558959,0.516228
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260916,trial0,3265,1633,0.945789,0.633803
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260916,trial1,3265,1633,0.580092,0.568892
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260916,trial1,3265,1633,0.940276,0.666871
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260916,trial2,3266,1632,0.538273,0.519608
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260916,trial2,3266,1632,0.946724,0.645221
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260917,trial0,3265,1633,0.551914,0.5297
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260917,trial0,3265,1633,0.950383,0.649112
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260917,trial1,3265,1633,0.611639,0.602572
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260917,trial1,3265,1633,0.945176,0.658298
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260917,trial2,3266,1632,0.533987,0.554534
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260917,trial2,3266,1632,0.951317,0.639706
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260918,trial0,3265,1633,0.548545,0.5297
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260918,trial0,3265,1633,0.947933,0.653399
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260918,trial1,3265,1633,0.573354,0.581139
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260918,trial1,3265,1633,0.954364,0.641764
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260918,trial2,3266,1632,0.557563,0.534926
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260918,trial2,3266,1632,0.952235,0.656863
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260919,trial0,3265,1633,0.61807,0.608696
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260919,trial0,3265,1633,0.950077,0.639927
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260919,trial1,3265,1633,0.631853,0.582364
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260919,trial1,3265,1633,0.94732,0.617881
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260919,trial2,3266,1632,0.609002,0.578431
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260919,trial2,3266,1632,0.945193,0.660539
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260920,trial0,3265,1633,0.615314,0.601347
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260920,trial0,3265,1633,0.946708,0.651562
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260920,trial1,3265,1633,0.586524,0.573178
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260920,trial1,3265,1633,0.948239,0.641151
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260920,trial2,3266,1632,0.603491,0.579657
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260920,trial2,3266,1632,0.945805,0.64277
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,20260916,run0,3262,1636,0.618639,0.599022
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run0,3262,1636,0.952177,0.642421
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,20260916,run1,3269,1629,0.600489,0.590546
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run1,3269,1629,0.944325,0.655617
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,20260916,run2,3265,1633,0.621133,0.636865
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run2,3265,1633,0.949464,0.661359
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260916,subj0,3242,1656,0.615978,0.594807
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj0,3242,1656,0.947563,0.610507
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260916,subj1,3280,1618,0.632012,0.609394
