dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260916,trial0,3265,1633,0.593262,0.579302
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260916,trial0,3265,1633,0.946708,0.619106
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260916,trial1,3265,1633,0.606126,0.582976
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260916,trial1,3265,1633,0.935988,0.641151
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260916,trial2,3266,1632,0.596142,0.576593
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260916,trial2,3266,1632,0.941825,0.637255
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260917,trial0,3265,1633,0.595406,0.574403
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260917,trial0,3265,1633,0.941194,0.628291
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260917,trial1,3265,1633,0.60827,0.570116
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260917,trial1,3265,1633,0.941807,0.621555
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260917,trial2,3266,1632,0.60594,0.566789
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260917,trial2,3266,1632,0.941212,0.629289
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260918,trial0,3265,1633,0.611945,0.586038
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260918,trial0,3265,1633,0.939663,0.622168
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260918,trial1,3265,1633,0.609495,0.577465
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260918,trial1,3265,1633,0.946708,0.622168
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260918,trial2,3266,1632,0.590631,0.553922
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260918,trial2,3266,1632,0.944887,0.63174
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260919,trial0,3265,1633,0.615314,0.574403
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260919,trial0,3265,1633,0.943032,0.620331
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260919,trial1,3265,1633,0.607044,0.587875
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260919,trial1,3265,1633,0.946095,0.614819
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260919,trial2,3266,1632,0.596142,0.578431
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260919,trial2,3266,1632,0.941825,0.620098
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260920,trial0,3265,1633,0.605819,0.56583
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260920,trial0,3265,1633,0.940582,0.611145
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260920,trial1,3265,1633,0.593262,0.577465
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260920,trial1,3265,1633,0.941194,0.611758
eegbci,imagery_left_right_fist,csp_lda,trial_random,20260920,trial2,3266,1632,0.608389,0.578431
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,20260920,trial2,3266,1632,0.938151,0.630515
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,20260916,run0,3262,1636,0.623544,0.587408
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run0,3262,1636,0.942367,0.620416
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,20260916,run1,3269,1629,0.594677,0.589932
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run1,3269,1629,0.945243,0.634131
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,20260916,run2,3265,1633,0.617152,0.598285
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run2,3265,1633,0.947626,0.630741
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260916,subj0,3242,1656,0.610117,0.570048
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj0,3242,1656,0.939852,0.595411
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260916,subj1,3280,1618,0.624085,0.598888
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj1,3280,1618,0.951829,0.560569
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260916,subj2,3274,1624,0.612706,0.598522
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj2,3274,1624,0.94044,0.58436
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260917,subj0,3224,1674,0.593672,0.613501
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj0,3224,1674,0.940136,0.586022
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260917,subj1,3287,1611,0.61728,0.58473
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj1,3287,1611,0.944935,0.584109
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260917,subj2,3285,1613,0.627397,0.588965
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj2,3285,1613,0.946423,0.598264
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260918,subj0,3227,1671,0.616672,0.577499
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj0,3227,1671,0.944531,0.602633
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260918,subj1,3288,1610,0.608273,0.596894
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj1,3288,1610,0.943431,0.588199
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260918,subj2,3281,1617,0.611704,0.586889
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj2,3281,1617,0.946358,0.583797
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260919,subj0,3242,1656,0.628007,0.582729
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj0,3242,1656,0.948797,0.600242
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260919,subj1,3264,1634,0.630208,0.623623
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj1,3264,1634,0.948223,0.581395
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260919,subj2,3290,1608,0.619453,0.553483
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj2,3290,1608,0.944377,0.580224
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260920,subj0,3243,1655,0.591428,0.599396
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj0,3243,1655,0.952513,0.585498
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260920,subj1,3276,1622,0.631258,0.573983
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj1,3276,1622,0.942613,0.582614
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260920,subj2,3277,1621,0.621605,0.586058
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj2,3277,1621,0.941105,0.604565
eegbci,real_left_right_fist,csp_lda,trial_random,20260916,trial0,3264,1633,0.622855,0.587875
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260916,trial0,3264,1633,0.971814,0.673607
eegbci,real_left_right_fist,csp_lda,trial_random,20260916,trial1,3265,1632,0.61317,0.574142
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260916,trial1,3265,1632,0.968147,0.663603
eegbci,real_left_right_fist,csp_lda,trial_random,20260916,trial2,3265,1632,0.628178,0.579657
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260916,trial2,3265,1632,0.969372,0.677696
eegbci,real_left_right_fist,csp_lda,trial_random,20260917,trial0,3264,1633,0.609988,0.558481
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260917,trial0,3264,1633,0.968137,0.688304
eegbci,real_left_right_fist,csp_lda,trial_random,20260917,trial1,3265,1632,0.59173,0.5625
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260917,trial1,3265,1632,0.969066,0.678309
eegbci,real_left_right_fist,csp_lda,trial_random,20260917,trial2,3265,1632,0.62634,0.576593
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260917,trial2,3265,1632,0.963247,0.690564
eegbci,real_left_right_fist,csp_lda,trial_random,20260918,trial0,3264,1633,0.653799,0.602572
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260918,trial0,3264,1633,0.969975,0.685242
eegbci,real_left_right_fist,csp_lda,trial_random,20260918,trial1,3265,1632,0.585299,0.550245
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260918,trial1,3265,1632,0.965697,0.678309
eegbci,real_left_right_fist,csp_lda,trial_random,20260918,trial2,3265,1632,0.596325,0.564951
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260918,trial2,3265,1632,0.966003,0.691789
eegbci,real_left_right_fist,csp_lda,trial_random,20260919,trial0,3264,1633,0.630821,0.577465
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260919,trial0,3264,1633,0.967218,0.688304
eegbci,real_left_right_fist,csp_lda,trial_random,20260919,trial1,3265,1632,0.580092,0.542279
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260919,trial1,3265,1632,0.966616,0.675858
eegbci,real_left_right_fist,csp_lda,trial_random,20260919,trial2,3265,1632,0.569985,0.566789
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260919,trial2,3265,1632,0.97611,0.675245
eegbci,real_left_right_fist,csp_lda,trial_random,20260920,trial0,3264,1633,0.593444,0.546234
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260920,trial0,3264,1633,0.960478,0.694427
eegbci,real_left_right_fist,csp_lda,trial_random,20260920,trial1,3265,1632,0.601225,0.546569
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260920,trial1,3265,1632,0.966922,0.679534
eegbci,real_left_right_fist,csp_lda,trial_random,20260920,trial2,3265,1632,0.617764,0.563113
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,20260920,trial2,3265,1632,0.966616,0.697917
eegbci,real_left_right_fist,csp_lda,run_disjoint,20260916,run0,3260,1637,0.62454,0.569334
eegbci,real_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run0,3260,1637,0.971166,0.661576
eegbci,real_left_right_fist,csp_lda,run_disjoint,20260916,run1,3267,1630,0.633303,0.627607
eegbci,real_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run1,3267,1630,0.969697,0.688344
eegbci,real_left_right_fist,csp_lda,run_disjoint,20260916,run2,3267,1630,0.632691,0.616564
eegbci,real_left_right_fist,riemann_ts_lr,run_disjoint,20260916,run2,3267,1630,0.971534,0.69816
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260916,subj0,3240,1657,0.632407,0.616174
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj0,3240,1657,0.970988,0.604707
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260916,subj1,3280,1617,0.635976,0.595547
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj1,3280,1617,0.967683,0.603587
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260916,subj2,3274,1623,0.6292,0.597659
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj2,3274,1623,0.963653,0.635243
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260917,subj0,3219,1678,0.613855,0.625745
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj0,3219,1678,0.967071,0.628129
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260917,subj1,3292,1605,0.615128,0.591277
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj1,3292,1605,0.966586,0.6081
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260917,subj2,3283,1614,0.630825,0.600372
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj2,3283,1614,0.96558,0.625774
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260918,subj0,3235,1662,0.641731,0.610108
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj0,3235,1662,0.965997,0.620337
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260918,subj1,3289,1608,0.628763,0.61194
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj1,3289,1608,0.967771,0.60199
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260918,subj2,3270,1627,0.613456,0.564843
