task,protocol,seed,fold,C,n_train,n_test,train_acc,test_acc,w_norm,n_iter
imagery_left_right_fist,trial_random,20260916,trial0,0.0001,3265,1633,0.574579,0.533374,0.0312986,10
imagery_left_right_fist,trial_random,20260916,trial0,0.001,3265,1633,0.645636,0.556644,0.254775,14
imagery_left_right_fist,trial_random,20260916,trial0,0.01,3265,1633,0.754364,0.645438,1.63193,37
imagery_left_right_fist,trial_random,20260916,trial0,0.1,3265,1633,0.862175,0.666258,7.00595,113
imagery_left_right_fist,trial_random,20260916,trial0,1.0,3265,1633,0.945789,0.633803,22.8338,210
imagery_left_right_fist,trial_random,20260916,trial0,10.0,3265,1633,1,0.617269,63.6069,415
imagery_left_right_fist,trial_random,20260916,trial0,100.0,3265,1633,1,0.611758,132.924,399
imagery_left_right_fist,trial_random,20260916,trial0,1000.0,3265,1633,1,0.617881,248.763,226
imagery_left_right_fist,trial_random,20260916,trial1,0.0001,3265,1633,0.590199,0.547459,0.0300221,9
imagery_left_right_fist,trial_random,20260916,trial1,0.001,3265,1633,0.647473,0.596448,0.251226,8
imagery_left_right_fist,trial_random,20260916,trial1,0.01,3265,1633,0.752221,0.64605,1.59963,43
imagery_left_right_fist,trial_random,20260916,trial1,0.1,3265,1633,0.859724,0.696877,6.91032,105
imagery_left_right_fist,trial_random,20260916,trial1,1.0,3265,1633,0.940276,0.666871,22.7403,218
imagery_left_right_fist,trial_random,20260916,trial1,10.0,3265,1633,0.997856,0.628904,64.1949,443
imagery_left_right_fist,trial_random,20260916,trial1,100.0,3265,1633,1,0.623393,132.82,578
imagery_left_right_fist,trial_random,20260916,trial1,1000.0,3265,1633,1,0.627067,228.674,298
imagery_left_right_fist,trial_random,20260916,trial2,0.0001,3266,1632,0.575321,0.53125,0.0312472,10
imagery_left_right_fist,trial_random,20260916,trial2,0.001,3266,1632,0.667483,0.585784,0.256838,12
imagery_left_right_fist,trial_random,20260916,trial2,0.01,3266,1632,0.769443,0.63848,1.65441,40
imagery_left_right_fist,trial_random,20260916,trial2,0.1,3266,1632,0.863135,0.65625,7.01806,111
imagery_left_right_fist,trial_random,20260916,trial2,1.0,3266,1632,0.946724,0.645221,22.6723,215
imagery_left_right_fist,trial_random,20260916,trial2,10.0,3266,1632,0.999694,0.606618,63.188,442
imagery_left_right_fist,trial_random,20260916,trial2,100.0,3266,1632,1,0.603554,125.639,554
imagery_left_right_fist,trial_random,20260916,trial2,1000.0,3266,1632,1,0.618873,234.192,283
imagery_left_right_fist,trial_random,20260917,trial0,0.0001,3265,1633,0.574885,0.5297,0.0310766,10
imagery_left_right_fist,trial_random,20260917,trial0,0.001,3265,1633,0.645636,0.568279,0.255877,15
imagery_left_right_fist,trial_random,20260917,trial0,0.01,3265,1633,0.759571,0.649724,1.6401,39
imagery_left_right_fist,trial_random,20260917,trial0,0.1,3265,1633,0.864931,0.676669,6.99844,114
imagery_left_right_fist,trial_random,20260917,trial0,1.0,3265,1633,0.950383,0.649112,22.8991,246
imagery_left_right_fist,trial_random,20260917,trial0,10.0,3265,1633,0.999694,0.628904,63.238,448
imagery_left_right_fist,trial_random,20260917,trial0,100.0,3265,1633,1,0.625842,126.587,499
imagery_left_right_fist,trial_random,20260917,trial0,1000.0,3265,1633,1,0.627067,236.219,281
imagery_left_right_fist,trial_random,20260917,trial1,0.0001,3265,1633,0.566616,0.521127,0.0321635,11
imagery_left_right_fist,trial_random,20260917,trial1,0.001,3265,1633,0.651149,0.573791,0.257791,12
imagery_left_right_fist,trial_random,20260917,trial1,0.01,3265,1633,0.754364,0.642376,1.61896,42
imagery_left_right_fist,trial_random,20260917,trial1,0.1,3265,1633,0.859418,0.667483,6.95844,105
imagery_left_right_fist,trial_random,20260917,trial1,1.0,3265,1633,0.945176,0.658298,22.7887,236
