task,protocol,seed,fold,metric,value,n,note
imagery_left_right_fist,descriptive,,,mean_pairwise_abs_cos_d_s,0.0718702,11772,mean |cos| between subject-specific class-separation directions (off-diagonal pairs)
imagery_left_right_fist,descriptive,,,mean_abs_cos_d_s_d_global,0.221626,109,mean |cos| between each subject's direction and the global class direction
imagery_left_right_fist,descriptive,,,random_direction_fraction_in_span,0.0524038,109,expected ||proj||^2/||w||^2 of a random direction (k/D)
imagery_left_right_fist,trial_random,20260916,trial0,mean_abs_cos_w_d_s_train_subjects,0.101902,109,
imagery_left_right_fist,trial_random,20260916,trial0,mean_abs_cos_w_d_s_test_subjects,0.101902,109,
imagery_left_right_fist,trial_random,20260916,trial0,abs_cos_w_d_global,0.38422,109,
imagery_left_right_fist,trial_random,20260916,trial0,fraction_w_in_span_all_d_s,0.29865,109,
imagery_left_right_fist,trial_random,20260916,trial0,fraction_w_in_span_train_d_s,0.29865,109,
imagery_left_right_fist,trial_random,20260916,trial1,mean_abs_cos_w_d_s_train_subjects,0.100967,109,
imagery_left_right_fist,trial_random,20260916,trial1,mean_abs_cos_w_d_s_test_subjects,0.100967,109,
imagery_left_right_fist,trial_random,20260916,trial1,abs_cos_w_d_global,0.381447,109,
imagery_left_right_fist,trial_random,20260916,trial1,fraction_w_in_span_all_d_s,0.291492,109,
imagery_left_right_fist,trial_random,20260916,trial1,fraction_w_in_span_train_d_s,0.291492,109,
imagery_left_right_fist,trial_random,20260916,trial2,mean_abs_cos_w_d_s_train_subjects,0.102844,109,
imagery_left_right_fist,trial_random,20260916,trial2,mean_abs_cos_w_d_s_test_subjects,0.102844,109,
imagery_left_right_fist,trial_random,20260916,trial2,abs_cos_w_d_global,0.389735,109,
imagery_left_right_fist,trial_random,20260916,trial2,fraction_w_in_span_all_d_s,0.318966,109,
imagery_left_right_fist,trial_random,20260916,trial2,fraction_w_in_span_train_d_s,0.318966,109,
imagery_left_right_fist,trial_random,20260917,trial0,mean_abs_cos_w_d_s_train_subjects,0.102343,109,
imagery_left_right_fist,trial_random,20260917,trial0,mean_abs_cos_w_d_s_test_subjects,0.102343,109,
imagery_left_right_fist,trial_random,20260917,trial0,abs_cos_w_d_global,0.385682,109,
imagery_left_right_fist,trial_random,20260917,trial0,fraction_w_in_span_all_d_s,0.311685,109,
imagery_left_right_fist,trial_random,20260917,trial0,fraction_w_in_span_train_d_s,0.311685,109,
imagery_left_right_fist,trial_random,20260917,trial1,mean_abs_cos_w_d_s_train_subjects,0.10058,109,
imagery_left_right_fist,trial_random,20260917,trial1,mean_abs_cos_w_d_s_test_subjects,0.10058,109,
imagery_left_right_fist,trial_random,20260917,trial1,abs_cos_w_d_global,0.380708,109,
imagery_left_right_fist,trial_random,20260917,trial1,fraction_w_in_span_all_d_s,0.295062,109,
imagery_left_right_fist,trial_random,20260917,trial1,fraction_w_in_span_train_d_s,0.295062,109,
imagery_left_right_fist,trial_random,20260917,trial2,mean_abs_cos_w_d_s_train_subjects,0.103409,109,
imagery_left_right_fist,trial_random,20260917,trial2,mean_abs_cos_w_d_s_test_subjects,0.103409,109,
imagery_left_right_fist,trial_random,20260917,trial2,abs_cos_w_d_global,0.391826,109,
imagery_left_right_fist,trial_random,20260917,trial2,fraction_w_in_span_all_d_s,0.313938,109,
imagery_left_right_fist,trial_random,20260917,trial2,fraction_w_in_span_train_d_s,0.313938,109,
imagery_left_right_fist,trial_random,20260918,trial0,mean_abs_cos_w_d_s_train_subjects,0.10167,109,
imagery_left_right_fist,trial_random,20260918,trial0,mean_abs_cos_w_d_s_test_subjects,0.10167,109,
imagery_left_right_fist,trial_random,20260918,trial0,abs_cos_w_d_global,0.384787,109,
imagery_left_right_fist,trial_random,20260918,trial0,fraction_w_in_span_all_d_s,0.312278,109,
imagery_left_right_fist,trial_random,20260918,trial0,fraction_w_in_span_train_d_s,0.312278,109,
imagery_left_right_fist,trial_random,20260918,trial1,mean_abs_cos_w_d_s_train_subjects,0.10273,109,
imagery_left_right_fist,trial_random,20260918,trial1,mean_abs_cos_w_d_s_test_subjects,0.10273,109,
imagery_left_right_fist,trial_random,20260918,trial1,abs_cos_w_d_global,0.387434,109,
imagery_left_right_fist,trial_random,20260918,trial1,fraction_w_in_span_all_d_s,0.318332,109,
imagery_left_right_fist,trial_random,20260918,trial1,fraction_w_in_span_train_d_s,0.318332,109,
imagery_left_right_fist,trial_random,20260918,trial2,mean_abs_cos_w_d_s_train_subjects,0.101597,109,
imagery_left_right_fist,trial_random,20260918,trial2,mean_abs_cos_w_d_s_test_subjects,0.101597,109,
imagery_left_right_fist,trial_random,20260918,trial2,abs_cos_w_d_global,0.384272,109,
imagery_left_right_fist,trial_random,20260918,trial2,fraction_w_in_span_all_d_s,0.293473,109,
imagery_left_right_fist,trial_random,20260918,trial2,fraction_w_in_span_train_d_s,0.293473,109,
imagery_left_right_fist,trial_random,20260919,trial0,mean_abs_cos_w_d_s_train_subjects,0.10141,109,
imagery_left_right_fist,trial_random,20260919,trial0,mean_abs_cos_w_d_s_test_subjects,0.10141,109,
imagery_left_right_fist,trial_random,20260919,trial0,abs_cos_w_d_global,0.38442,109,
imagery_left_right_fist,trial_random,20260919,trial0,fraction_w_in_span_all_d_s,0.306893,109,
imagery_left_right_fist,trial_random,20260919,trial0,fraction_w_in_span_train_d_s,0.306893,109,
imagery_left_right_fist,trial_random,20260919,trial1,mean_abs_cos_w_d_s_train_subjects,0.101529,109,
imagery_left_right_fist,trial_random,20260919,trial1,mean_abs_cos_w_d_s_test_subjects,0.101529,109,
imagery_left_right_fist,trial_random,20260919,trial1,abs_cos_w_d_global,0.382453,109,
imagery_left_right_fist,trial_random,20260919,trial1,fraction_w_in_span_all_d_s,0.296373,109,
