task,protocol,seed,fold,d,n_train,n_test,train_acc,test_acc,w_norm,explained_var
imagery_left_right_fist,trial_random,20260916,trial0,2,3265,1633,0.511792,0.49602,0.00799523,0.636246
imagery_left_right_fist,trial_random,20260916,trial0,4,3265,1633,0.512098,0.502756,0.0238338,0.668414
imagery_left_right_fist,trial_random,20260916,trial0,8,3265,1633,0.524349,0.500306,0.0627517,0.712008
imagery_left_right_fist,trial_random,20260916,trial0,16,3265,1633,0.541194,0.492958,0.132014,0.767912
imagery_left_right_fist,trial_random,20260916,trial0,32,3265,1633,0.543951,0.499694,0.20898,0.830521
imagery_left_right_fist,trial_random,20260916,trial0,64,3265,1633,0.571516,0.500306,0.499764,0.89015
imagery_left_right_fist,trial_random,20260916,trial0,128,3265,1633,0.662787,0.638089,3.5582,0.925678
imagery_left_right_fist,trial_random,20260916,trial0,256,3265,1633,0.741194,0.682792,6.91655,0.943444
imagery_left_right_fist,trial_random,20260916,trial0,512,3265,1633,0.785299,0.665034,9.36582,0.964124
imagery_left_right_fist,trial_random,20260916,trial0,1024,3265,1633,0.85758,0.661359,16.1166,0.986553
imagery_left_right_fist,trial_random,20260916,trial0,2080,3265,1633,0.945789,0.633803,22.8338,1
imagery_left_right_fist,trial_random,20260916,trial1,2,3265,1633,0.504441,0.50398,0.000429435,0.630157
imagery_left_right_fist,trial_random,20260916,trial1,4,3265,1633,0.504135,0.504593,0.0158262,0.662759
imagery_left_right_fist,trial_random,20260916,trial1,8,3265,1633,0.514242,0.499081,0.0526854,0.707217
imagery_left_right_fist,trial_random,20260916,trial1,16,3265,1633,0.528637,0.518065,0.105621,0.764947
imagery_left_right_fist,trial_random,20260916,trial1,32,3265,1633,0.539357,0.515615,0.21068,0.828538
imagery_left_right_fist,trial_random,20260916,trial1,64,3265,1633,0.565391,0.518677,0.516441,0.888489
imagery_left_right_fist,trial_random,20260916,trial1,128,3265,1633,0.676876,0.652786,3.69333,0.924396
imagery_left_right_fist,trial_random,20260916,trial1,256,3265,1633,0.735681,0.698102,6.93051,0.942539
imagery_left_right_fist,trial_random,20260916,trial1,512,3265,1633,0.775191,0.694427,9.36755,0.96353
imagery_left_right_fist,trial_random,20260916,trial1,1024,3265,1633,0.843492,0.684017,15.2357,0.98636
imagery_left_right_fist,trial_random,20260916,trial1,2080,3265,1633,0.940276,0.666871,22.7403,1
imagery_left_right_fist,trial_random,20260916,trial2,2,3266,1632,0.505205,0.495098,0.00306445,0.629347
imagery_left_right_fist,trial_random,20260916,trial2,4,3266,1632,0.507042,0.504902,0.0158195,0.662001
imagery_left_right_fist,trial_random,20260916,trial2,8,3266,1632,0.52572,0.501225,0.0687083,0.7075
imagery_left_right_fist,trial_random,20260916,trial2,16,3266,1632,0.525413,0.514706,0.12519,0.76467
imagery_left_right_fist,trial_random,20260916,trial2,32,3266,1632,0.543478,0.522059,0.223963,0.828759
imagery_left_right_fist,trial_random,20260916,trial2,64,3266,1632,0.56338,0.537377,0.476221,0.889117
imagery_left_right_fist,trial_random,20260916,trial2,128,3266,1632,0.683711,0.60723,4.01899,0.92472
imagery_left_right_fist,trial_random,20260916,trial2,256,3266,1632,0.749235,0.673407,7.2485,0.942785
imagery_left_right_fist,trial_random,20260916,trial2,512,3266,1632,0.780465,0.686275,10.0371,0.96372
imagery_left_right_fist,trial_random,20260916,trial2,1024,3266,1632,0.854256,0.656863,15.812,0.986437
imagery_left_right_fist,trial_random,20260916,trial2,2080,3266,1632,0.946724,0.645221,22.6723,1
imagery_left_right_fist,trial_random,20260917,trial0,2,3265,1633,0.501378,0.497244,0.00507231,0.636227
imagery_left_right_fist,trial_random,20260917,trial0,4,3265,1633,0.503216,0.489896,0.0188224,0.668281
imagery_left_right_fist,trial_random,20260917,trial0,8,3265,1633,0.51608,0.499081,0.0649068,0.712449
imagery_left_right_fist,trial_random,20260917,trial0,16,3265,1633,0.527718,0.497244,0.130947,0.768469
imagery_left_right_fist,trial_random,20260917,trial0,32,3265,1633,0.52925,0.485609,0.203012,0.830875
imagery_left_right_fist,trial_random,20260917,trial0,64,3265,1633,0.562634,0.505205,0.571941,0.890081
imagery_left_right_fist,trial_random,20260917,trial0,128,3265,1633,0.682389,0.631353,3.84919,0.925451
imagery_left_right_fist,trial_random,20260917,trial0,256,3265,1633,0.746708,0.680955,7.32595,0.943316
imagery_left_right_fist,trial_random,20260917,trial0,512,3265,1633,0.791118,0.677281,9.93963,0.964045
imagery_left_right_fist,trial_random,20260917,trial0,1024,3265,1633,0.847779,0.652174,15.7207,0.986553
imagery_left_right_fist,trial_random,20260917,trial0,2080,3265,1633,0.950383,0.649112,22.8991,1
imagery_left_right_fist,trial_random,20260917,trial1,2,3265,1633,0.508729,0.495407,0.0074906,0.629782
imagery_left_right_fist,trial_random,20260917,trial1,4,3265,1633,0.509342,0.50398,0.0235945,0.662357
imagery_left_right_fist,trial_random,20260917,trial1,8,3265,1633,0.515161,0.507655,0.0544443,0.706823
imagery_left_right_fist,trial_random,20260917,trial1,16,3265,1633,0.532312,0.488059,0.149117,0.764255
imagery_left_right_fist,trial_random,20260917,trial1,32,3265,1633,0.54242,0.502143,0.240441,0.827906
imagery_left_right_fist,trial_random,20260917,trial1,64,3265,1633,0.566003,0.50643,0.436224,0.88846
imagery_left_right_fist,trial_random,20260917,trial1,128,3265,1633,0.681164,0.624617,3.65728,0.92434
imagery_left_right_fist,trial_random,20260917,trial1,256,3265,1633,0.742113,0.68463,6.76887,0.942483
