task,clf,protocol,seed,fold,n_train,n_test,train_acc,test_acc
imagery_left_right_fist,lr,trial_random,20260916,trial0,3265,1633,0.945789,0.633803
imagery_left_right_fist,slda,trial_random,20260916,trial0,3265,1633,0.916386,0.618494
imagery_left_right_fist,linsvm,trial_random,20260916,trial0,3265,1633,0.999387,0.611758
imagery_left_right_fist,ridge,trial_random,20260916,trial0,3265,1633,0.946095,0.605634
imagery_left_right_fist,knn,trial_random,20260916,trial0,3265,1633,0.719449,0.498469
imagery_left_right_fist,mdm,trial_random,20260916,trial0,3265,1633,0.515773,0.496632
imagery_left_right_fist,lr,trial_random,20260916,trial1,3265,1633,0.940276,0.666871
imagery_left_right_fist,slda,trial_random,20260916,trial1,3265,1633,0.906891,0.634415
imagery_left_right_fist,linsvm,trial_random,20260916,trial1,3265,1633,0.997856,0.619718
imagery_left_right_fist,ridge,trial_random,20260916,trial1,3265,1633,0.938132,0.612982
imagery_left_right_fist,knn,trial_random,20260916,trial1,3265,1633,0.712711,0.478873
imagery_left_right_fist,mdm,trial_random,20260916,trial1,3265,1633,0.564778,0.530312
imagery_left_right_fist,lr,trial_random,20260916,trial2,3266,1632,0.946724,0.645221
imagery_left_right_fist,slda,trial_random,20260916,trial2,3266,1632,0.914268,0.612745
imagery_left_right_fist,linsvm,trial_random,20260916,trial2,3266,1632,1,0.599877
imagery_left_right_fist,ridge,trial_random,20260916,trial2,3266,1632,0.946418,0.598039
imagery_left_right_fist,knn,trial_random,20260916,trial2,3266,1632,0.713411,0.492034
imagery_left_right_fist,mdm,trial_random,20260916,trial2,3266,1632,0.508879,0.499387
imagery_left_right_fist,lr,trial_random,20260917,trial0,3265,1633,0.950383,0.649112
imagery_left_right_fist,slda,trial_random,20260917,trial0,3265,1633,0.913629,0.623393
imagery_left_right_fist,linsvm,trial_random,20260917,trial0,3265,1633,0.999694,0.62523
imagery_left_right_fist,ridge,trial_random,20260917,trial0,3265,1633,0.945176,0.615432
imagery_left_right_fist,knn,trial_random,20260917,trial0,3265,1633,0.70291,0.481323
imagery_left_right_fist,mdm,trial_random,20260917,trial0,3265,1633,0.519755,0.483772
imagery_left_right_fist,lr,trial_random,20260917,trial1,3265,1633,0.945176,0.658298
imagery_left_right_fist,slda,trial_random,20260917,trial1,3265,1633,0.914548,0.621555
imagery_left_right_fist,linsvm,trial_random,20260917,trial1,3265,1633,0.998469,0.625842
imagery_left_right_fist,ridge,trial_random,20260917,trial1,3265,1633,0.942726,0.605634
imagery_left_right_fist,knn,trial_random,20260917,trial1,3265,1633,0.710873,0.49357
imagery_left_right_fist,mdm,trial_random,20260917,trial1,3265,1633,0.512711,0.50398
imagery_left_right_fist,lr,trial_random,20260917,trial2,3266,1632,0.951317,0.639706
imagery_left_right_fist,slda,trial_random,20260917,trial2,3266,1632,0.913043,0.628064
imagery_left_right_fist,linsvm,trial_random,20260917,trial2,3266,1632,0.999081,0.609069
imagery_left_right_fist,ridge,trial_random,20260917,trial2,3266,1632,0.945499,0.58701
imagery_left_right_fist,knn,trial_random,20260917,trial2,3266,1632,0.713105,0.492647
imagery_left_right_fist,mdm,trial_random,20260917,trial2,3266,1632,0.511329,0.490196
imagery_left_right_fist,lr,trial_random,20260918,trial0,3265,1633,0.947933,0.653399
imagery_left_right_fist,slda,trial_random,20260918,trial0,3265,1633,0.911792,0.620943
imagery_left_right_fist,linsvm,trial_random,20260918,trial0,3265,1633,0.999081,0.619718
imagery_left_right_fist,ridge,trial_random,20260918,trial0,3265,1633,0.944257,0.611145
imagery_left_right_fist,knn,trial_random,20260918,trial0,3265,1633,0.715467,0.487446
imagery_left_right_fist,mdm,trial_random,20260918,trial0,3265,1633,0.511485,0.508267
imagery_left_right_fist,lr,trial_random,20260918,trial1,3265,1633,0.954364,0.641764
imagery_left_right_fist,slda,trial_random,20260918,trial1,3265,1633,0.919142,0.601347
imagery_left_right_fist,linsvm,trial_random,20260918,trial1,3265,1633,0.998775,0.60196
imagery_left_right_fist,ridge,trial_random,20260918,trial1,3265,1633,0.949158,0.600735
imagery_left_right_fist,knn,trial_random,20260918,trial1,3265,1633,0.709035,0.470912
imagery_left_right_fist,mdm,trial_random,20260918,trial1,3265,1633,0.528025,0.505818
imagery_left_right_fist,lr,trial_random,20260918,trial2,3266,1632,0.952235,0.656863
imagery_left_right_fist,slda,trial_random,20260918,trial2,3266,1632,0.920086,0.626838
imagery_left_right_fist,linsvm,trial_random,20260918,trial2,3266,1632,0.999388,0.630515
