task,fold,subject,n_test,acc_full,acc_minus,delta,ref_distance
imagery_left_right_fist,trial0,1,16,0.6875,0.6875,0,0.0609858
imagery_left_right_fist,trial0,2,11,1,1,0,0.0727401
imagery_left_right_fist,trial0,3,18,0.388889,0.388889,0,0.054594
imagery_left_right_fist,trial0,4,20,0.7,0.7,0,0.0713848
imagery_left_right_fist,trial0,5,16,0.4375,0.4375,0,0.0798318
imagery_left_right_fist,trial0,6,14,0.571429,0.571429,0,0.10754
imagery_left_right_fist,trial0,7,20,1,1,0,0.0601098
imagery_left_right_fist,trial0,8,21,0.619048,0.619048,0,0.0625559
imagery_left_right_fist,trial0,9,7,0.142857,0.142857,0,0.208807
imagery_left_right_fist,trial0,10,14,0.571429,0.571429,0,0.0601157
imagery_left_right_fist,trial0,11,13,0.615385,0.615385,0,0.138351
imagery_left_right_fist,trial0,12,15,0.6,0.666667,-0.0666667,0.119763
imagery_left_right_fist,trial0,13,20,0.8,0.8,0,0.116971
imagery_left_right_fist,trial0,14,13,0.538462,0.538462,0,0.074712
imagery_left_right_fist,trial0,15,17,0.764706,0.764706,0,0.0812296
imagery_left_right_fist,trial0,16,15,0.466667,0.466667,0,0.0780493
imagery_left_right_fist,trial0,17,13,0.615385,0.615385,0,0.151719
imagery_left_right_fist,trial0,18,10,0.6,0.6,0,0.243647
imagery_left_right_fist,trial0,19,14,0.714286,0.714286,0,0.100713
imagery_left_right_fist,trial0,20,18,0.555556,0.555556,0,0.15093
imagery_left_right_fist,trial0,21,20,0.55,0.55,0,0.100067
imagery_left_right_fist,trial0,22,13,0.230769,0.230769,0,0.0999242
imagery_left_right_fist,trial0,23,11,0.727273,0.636364,0.0909091,0.104564
imagery_left_right_fist,trial0,24,12,0.666667,0.666667,0,0.12809
imagery_left_right_fist,trial0,25,18,0.444444,0.444444,0,0.0927274
imagery_left_right_fist,trial0,26,14,0.428571,0.428571,0,0.156838
imagery_left_right_fist,trial0,27,12,0.333333,0.333333,0,0.0738564
imagery_left_right_fist,trial0,28,18,0.555556,0.555556,0,0.0850316
imagery_left_right_fist,trial0,29,16,0.9375,0.9375,0,0.113979
imagery_left_right_fist,trial0,30,21,0.761905,0.761905,0,0.185384
imagery_left_right_fist,trial0,31,13,0.769231,0.769231,0,0.0649812
imagery_left_right_fist,trial0,32,17,0.823529,0.823529,0,0.0982782
imagery_left_right_fist,trial0,33,12,0.583333,0.583333,0,0.0550629
imagery_left_right_fist,trial0,34,12,0.75,0.75,0,0.145826
imagery_left_right_fist,trial0,35,17,0.941176,0.941176,0,0.128639
imagery_left_right_fist,trial0,36,16,0.5625,0.5625,0,0.0623346
imagery_left_right_fist,trial0,37,15,0.733333,0.733333,0,0.163817
imagery_left_right_fist,trial0,38,9,0.555556,0.555556,0,0.0847405
imagery_left_right_fist,trial0,39,12,0.583333,0.583333,0,0.123201
imagery_left_right_fist,trial0,40,10,0.6,0.6,0,0.0873908
imagery_left_right_fist,trial0,41,16,0.4375,0.4375,0,0.187758
imagery_left_right_fist,trial0,42,19,0.947368,0.947368,0,0.125507
imagery_left_right_fist,trial0,43,13,1,1,0,0.109809
