task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
imagery_left_right_fist,eegnet_v4,2,ztrial,trial_random,20260916,trial0,3265,1633,2775,490,0.73415,0.712245,0.696265,31,37,646
imagery_left_right_fist,eegnet_v4,2,ztrial,trial_random,20260916,trial1,3265,1633,2775,490,0.798469,0.773469,0.785058,36,40,646
imagery_left_right_fist,eegnet_v4,2,ztrial,trial_random,20260916,trial2,3266,1632,2776,490,0.721066,0.702041,0.692402,31,37,646
imagery_left_right_fist,eegnet_v4,2,ztrial,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.657927,0.626016,0.635266,17,23,646
imagery_left_right_fist,eegnet_v4,2,ztrial,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.522866,0.533333,0.495056,2,8,646
imagery_left_right_fist,eegnet_v4,2,ztrial,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.697923,0.678501,0.673645,15,21,646
imagery_left_right_fist,eegnet_v4,4,ztrial,trial_random,20260916,trial0,3265,1633,2775,490,0.845023,0.82449,0.793631,33,39,1322
imagery_left_right_fist,eegnet_v4,4,ztrial,trial_random,20260916,trial1,3265,1633,2775,490,0.832772,0.791837,0.81384,33,39,1322
imagery_left_right_fist,eegnet_v4,4,ztrial,trial_random,20260916,trial2,3266,1632,2776,490,0.861298,0.826531,0.800858,35,40,1322
imagery_left_right_fist,eegnet_v4,4,ztrial,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.784701,0.664634,0.72343,17,23,1322
imagery_left_right_fist,eegnet_v4,4,ztrial,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.855793,0.812121,0.777503,37,40,1322
imagery_left_right_fist,eegnet_v4,4,ztrial,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.84942,0.857988,0.804187,27,33,1322
imagery_left_right_fist,eegnet_v4,8,ztrial,trial_random,20260916,trial0,3265,1633,2775,490,0.8683,0.832653,0.805266,24,30,2770
imagery_left_right_fist,eegnet_v4,8,ztrial,trial_random,20260916,trial1,3265,1633,2775,490,0.864012,0.818367,0.807716,22,28,2770
imagery_left_right_fist,eegnet_v4,8,ztrial,trial_random,20260916,trial2,3266,1632,2776,490,0.843539,0.8,0.780025,29,35,2770
imagery_left_right_fist,eegnet_v4,8,ztrial,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.859346,0.800813,0.789855,35,40,2770
imagery_left_right_fist,eegnet_v4,8,ztrial,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.878354,0.816162,0.766378,27,33,2770
imagery_left_right_fist,eegnet_v4,8,ztrial,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.869884,0.869822,0.819581,25,31,2770
imagery_left_right_fist,eegnet_v4,16,ztrial,trial_random,20260916,trial0,3265,1633,2775,490,0.842573,0.808163,0.750765,12,18,6050
imagery_left_right_fist,eegnet_v4,16,ztrial,trial_random,20260916,trial1,3265,1633,2775,490,0.895253,0.8,0.781996,23,29,6050
imagery_left_right_fist,eegnet_v4,16,ztrial,trial_random,20260916,trial2,3266,1632,2776,490,0.899571,0.804082,0.795343,25,31,6050
imagery_left_right_fist,eegnet_v4,16,ztrial,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.829118,0.697154,0.739734,12,18,6050
imagery_left_right_fist,eegnet_v4,16,ztrial,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.910366,0.808081,0.762052,24,30,6050
imagery_left_right_fist,eegnet_v4,16,ztrial,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.779475,0.739645,0.719828,7,13,6050
imagery_left_right_fist,eegnet_v4,32,ztrial,trial_random,20260916,trial0,3265,1633,2775,490,0.936907,0.806122,0.79853,20,26,14146
imagery_left_right_fist,eegnet_v4,32,ztrial,trial_random,20260916,trial1,3265,1633,2775,490,0.932006,0.802041,0.806491,20,26,14146
