task,model,N,d,draw,protocol,mean_acc,n_subjects,n_trials
imagery_left_right_fist,riemann_ts_lr,9,8,0,trial_random,0.42963,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,0,trial_random,0.607407,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,0,trial_random,0.651852,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,0,trial_random,0.664198,9,405
imagery_left_right_fist,csp_lda,9,6,0,trial_random,0.503704,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,0,subject_disjoint,0.506173,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,0,subject_disjoint,0.550617,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,0,subject_disjoint,0.577778,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,0,subject_disjoint,0.577778,9,405
imagery_left_right_fist,csp_lda,9,6,0,subject_disjoint,0.538272,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,1,trial_random,0.435507,9,400
imagery_left_right_fist,riemann_ts_lr,9,32,1,trial_random,0.43458,9,400
imagery_left_right_fist,riemann_ts_lr,9,128,1,trial_random,0.607633,9,400
imagery_left_right_fist,riemann_ts_lr,9,2080,1,trial_random,0.617809,9,400
imagery_left_right_fist,csp_lda,9,6,1,trial_random,0.485296,9,400
imagery_left_right_fist,riemann_ts_lr,9,8,1,subject_disjoint,0.499943,9,400
imagery_left_right_fist,riemann_ts_lr,9,32,1,subject_disjoint,0.519811,9,400
imagery_left_right_fist,riemann_ts_lr,9,128,1,subject_disjoint,0.5475,9,400
imagery_left_right_fist,riemann_ts_lr,9,2080,1,subject_disjoint,0.577306,9,400
imagery_left_right_fist,csp_lda,9,6,1,subject_disjoint,0.527809,9,400
imagery_left_right_fist,riemann_ts_lr,9,8,2,trial_random,0.414991,9,393
imagery_left_right_fist,riemann_ts_lr,9,32,2,trial_random,0.582981,9,393
imagery_left_right_fist,riemann_ts_lr,9,128,2,trial_random,0.594974,9,393
imagery_left_right_fist,riemann_ts_lr,9,2080,2,trial_random,0.62134,9,393
imagery_left_right_fist,csp_lda,9,6,2,trial_random,0.498854,9,393
imagery_left_right_fist,riemann_ts_lr,9,8,2,subject_disjoint,0.503704,9,393
imagery_left_right_fist,riemann_ts_lr,9,32,2,subject_disjoint,0.550265,9,393
imagery_left_right_fist,riemann_ts_lr,9,128,2,subject_disjoint,0.545679,9,393
imagery_left_right_fist,riemann_ts_lr,9,2080,2,subject_disjoint,0.553086,9,393
imagery_left_right_fist,csp_lda,9,6,2,subject_disjoint,0.522046,9,393
imagery_left_right_fist,riemann_ts_lr,9,8,3,trial_random,0.454321,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,3,trial_random,0.558025,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,3,trial_random,0.604938,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,3,trial_random,0.575309,9,405
imagery_left_right_fist,csp_lda,9,6,3,trial_random,0.511111,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,3,subject_disjoint,0.503704,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,3,subject_disjoint,0.567901,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,3,subject_disjoint,0.516049,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,3,subject_disjoint,0.525926,9,405
imagery_left_right_fist,csp_lda,9,6,3,subject_disjoint,0.498765,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,4,trial_random,0.441344,9,403
imagery_left_right_fist,riemann_ts_lr,9,32,4,trial_random,0.634223,9,403
imagery_left_right_fist,riemann_ts_lr,9,128,4,trial_random,0.693597,9,403
imagery_left_right_fist,riemann_ts_lr,9,2080,4,trial_random,0.67373,9,403
imagery_left_right_fist,csp_lda,9,6,4,trial_random,0.531955,9,403
imagery_left_right_fist,riemann_ts_lr,9,8,4,subject_disjoint,0.493885,9,403
imagery_left_right_fist,riemann_ts_lr,9,32,4,subject_disjoint,0.609302,9,403
imagery_left_right_fist,riemann_ts_lr,9,128,4,subject_disjoint,0.587539,9,403
imagery_left_right_fist,riemann_ts_lr,9,2080,4,subject_disjoint,0.567442,9,403
imagery_left_right_fist,csp_lda,9,6,4,subject_disjoint,0.549584,9,403
imagery_left_right_fist,riemann_ts_lr,9,8,5,trial_random,0.437037,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,5,trial_random,0.711111,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,5,trial_random,0.681481,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,5,trial_random,0.679012,9,405
imagery_left_right_fist,csp_lda,9,6,5,trial_random,0.575309,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,5,subject_disjoint,0.483951,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,5,subject_disjoint,0.676543,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,5,subject_disjoint,0.659259,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,5,subject_disjoint,0.651852,9,405
imagery_left_right_fist,csp_lda,9,6,5,subject_disjoint,0.661728,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,6,trial_random,0.450449,9,404
imagery_left_right_fist,riemann_ts_lr,9,32,6,trial_random,0.633446,9,404
imagery_left_right_fist,riemann_ts_lr,9,128,6,trial_random,0.670707,9,404
imagery_left_right_fist,riemann_ts_lr,9,2080,6,trial_random,0.670875,9,404
imagery_left_right_fist,csp_lda,9,6,6,trial_random,0.539731,9,404
imagery_left_right_fist,riemann_ts_lr,9,8,6,subject_disjoint,0.504882,9,404
imagery_left_right_fist,riemann_ts_lr,9,32,6,subject_disjoint,0.611111,9,404
imagery_left_right_fist,riemann_ts_lr,9,128,6,subject_disjoint,0.588833,9,404
imagery_left_right_fist,riemann_ts_lr,9,2080,6,subject_disjoint,0.611167,9,404
imagery_left_right_fist,csp_lda,9,6,6,subject_disjoint,0.589226,9,404
imagery_left_right_fist,riemann_ts_lr,9,8,7,trial_random,0.464198,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,7,trial_random,0.602469,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,7,trial_random,0.614815,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,7,trial_random,0.622222,9,405
imagery_left_right_fist,csp_lda,9,6,7,trial_random,0.45679,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,7,subject_disjoint,0.511111,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,7,subject_disjoint,0.528395,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,7,subject_disjoint,0.533333,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,7,subject_disjoint,0.528395,9,405
imagery_left_right_fist,csp_lda,9,6,7,subject_disjoint,0.516049,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,8,trial_random,0.417813,9,402
imagery_left_right_fist,riemann_ts_lr,9,32,8,trial_random,0.640035,9,402
imagery_left_right_fist,riemann_ts_lr,9,128,8,trial_random,0.694004,9,402
