task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
imagery_left_right_fist,eegnet_v4,default,global,trial_random,20260916,trial0,3265,1633,2775,490,0.80245,0.763265,0.725046,17,23,2770
imagery_left_right_fist,eegnet_v4,default,global,trial_random,20260916,trial1,3265,1633,2775,490,0.841654,0.795918,0.815677,18,24,2770
imagery_left_right_fist,eegnet_v4,default,global,trial_random,20260916,trial2,3266,1632,2776,490,0.873239,0.853061,0.822304,28,34,2770
imagery_left_right_fist,eegnet_v4,default,global,run_disjoint,20260916,run0,3262,1636,2772,490,0.872777,0.84898,0.81357,28,34,2770
imagery_left_right_fist,eegnet_v4,default,global,run_disjoint,20260916,run1,3269,1629,2778,491,0.866932,0.837067,0.826274,34,40,2770
imagery_left_right_fist,eegnet_v4,default,global,run_disjoint,20260916,run2,3265,1633,2775,490,0.861868,0.842857,0.815677,22,28,2770
imagery_left_right_fist,eegnet_v4,default,global,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.8686,0.835366,0.807367,27,33,2770
imagery_left_right_fist,eegnet_v4,default,global,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.880793,0.832323,0.796044,33,39,2770
imagery_left_right_fist,eegnet_v4,default,global,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.878742,0.879684,0.82697,35,40,2770
imagery_left_right_fist,shallow_fbcsp,default,global,trial_random,20260916,trial0,3265,1633,2775,490,0.906891,0.773469,0.760563,20,26,106482
imagery_left_right_fist,shallow_fbcsp,default,global,trial_random,20260916,trial1,3265,1633,2775,490,0.885758,0.769388,0.736681,15,21,106482
imagery_left_right_fist,shallow_fbcsp,default,global,trial_random,20260916,trial2,3266,1632,2776,490,0.883344,0.783673,0.746936,17,23,106482
imagery_left_right_fist,shallow_fbcsp,default,global,run_disjoint,20260916,run0,3262,1636,2772,490,0.882281,0.785714,0.739609,20,26,106482
imagery_left_right_fist,shallow_fbcsp,default,global,run_disjoint,20260916,run1,3269,1629,2778,491,0.842765,0.757637,0.734807,12,18,106482
imagery_left_right_fist,shallow_fbcsp,default,global,run_disjoint,20260916,run2,3265,1633,2775,490,0.894946,0.787755,0.769137,15,21,106482
imagery_left_right_fist,shallow_fbcsp,default,global,subject_disjoint,20260916,subj0,3242,1656,2750,492,0.906848,0.705285,0.721618,25,31,106482
imagery_left_right_fist,shallow_fbcsp,default,global,subject_disjoint,20260916,subj1,3280,1618,2785,495,0.887195,0.761616,0.707046,23,29,106482
imagery_left_right_fist,shallow_fbcsp,default,global,subject_disjoint,20260916,subj2,3274,1624,2767,507,0.901038,0.769231,0.75431,21,27,106482
real_left_right_fist,eegnet_v4,default,global,trial_random,20260916,trial0,3264,1633,2774,490,0.865196,0.830612,0.82425,30,36,2770
real_left_right_fist,eegnet_v4,default,global,trial_random,20260916,trial1,3265,1632,2775,490,0.872282,0.822449,0.784926,30,36,2770
real_left_right_fist,eegnet_v4,default,global,trial_random,20260916,trial2,3265,1632,2775,490,0.879632,0.861224,0.806373,37,40,2770
real_left_right_fist,eegnet_v4,default,global,run_disjoint,20260916,run0,3260,1637,2771,489,0.841104,0.805726,0.792914,28,34,2770
real_left_right_fist,eegnet_v4,default,global,run_disjoint,20260916,run1,3267,1630,2776,491,0.847567,0.784114,0.827607,22,28,2770
real_left_right_fist,eegnet_v4,default,global,run_disjoint,20260916,run2,3267,1630,2776,491,0.867769,0.816701,0.796319,31,37,2770
real_left_right_fist,eegnet_v4,default,global,subject_disjoint,20260916,subj0,3240,1657,2745,495,0.863889,0.771717,0.808087,26,32,2770
real_left_right_fist,eegnet_v4,default,global,subject_disjoint,20260916,subj1,3280,1617,2785,495,0.835366,0.846465,0.750773,34,40,2770
real_left_right_fist,eegnet_v4,default,global,subject_disjoint,20260916,subj2,3274,1623,2767,507,0.862248,0.861933,0.818854,32,38,2770
real_left_right_fist,shallow_fbcsp,default,global,trial_random,20260916,trial0,3264,1633,2774,490,0.886336,0.755102,0.745254,15,21,106482
real_left_right_fist,shallow_fbcsp,default,global,trial_random,20260916,trial1,3265,1632,2775,490,0.871363,0.77551,0.714461,13,19,106482
real_left_right_fist,shallow_fbcsp,default,global,trial_random,20260916,trial2,3265,1632,2775,490,0.834609,0.734694,0.678309,9,15,106482
real_left_right_fist,shallow_fbcsp,default,global,run_disjoint,20260916,run0,3260,1637,2771,489,0.941718,0.801636,0.744655,30,36,106482
real_left_right_fist,shallow_fbcsp,default,global,run_disjoint,20260916,run1,3267,1630,2776,491,0.848179,0.751527,0.714724,9,15,106482
real_left_right_fist,shallow_fbcsp,default,global,run_disjoint,20260916,run2,3267,1630,2776,491,0.914294,0.792261,0.744172,18,24,106482
real_left_right_fist,shallow_fbcsp,default,global,subject_disjoint,20260916,subj0,3240,1657,2745,495,0.858025,0.654545,0.70006,13,19,106482
real_left_right_fist,shallow_fbcsp,default,global,subject_disjoint,20260916,subj1,3280,1617,2785,495,0.942988,0.771717,0.726036,30,36,106482
real_left_right_fist,shallow_fbcsp,default,global,subject_disjoint,20260916,subj2,3274,1623,2767,507,0.889126,0.712032,0.754775,16,22,106482
