task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial0,3264,1633,2774,490,0.757966,0.714286,0.687691,20,26,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial1,3265,1632,2775,490,0.750689,0.697959,0.662377,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial2,3265,1632,2775,490,0.780092,0.7,0.677083,21,27,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial0,3264,1633,2774,490,0.730392,0.661224,0.687079,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial1,3265,1632,2775,490,0.769066,0.712245,0.672181,16,22,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial2,3265,1632,2775,490,0.74732,0.691837,0.683824,13,19,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial0,3264,1633,2774,490,0.769914,0.702041,0.691978,18,24,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial1,3265,1632,2775,490,0.74977,0.722449,0.695466,14,20,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial2,3265,1632,2775,490,0.805513,0.740816,0.71201,31,37,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run0,3265,1632,2775,490,0.751302,0.712245,0.681373,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run1,3265,1632,2775,490,0.732312,0.683673,0.663603,13,19,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run2,3264,1633,2774,490,0.768382,0.744898,0.68218,16,22,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run0,3265,1632,2775,490,0.757734,0.702041,0.6875,17,23,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run1,3265,1632,2775,490,0.732619,0.685714,0.666667,10,16,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run2,3264,1633,2774,490,0.74326,0.689796,0.665646,11,17,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run0,3265,1632,2775,490,0.742113,0.695918,0.697917,13,19,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run1,3265,1632,2775,490,0.832466,0.761224,0.721201,34,40,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run2,3264,1633,2774,490,0.75674,0.72449,0.668096,16,22,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj0,3241,1656,2746,495,0.763962,0.644444,0.65942,17,23,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj1,3280,1617,2785,495,0.752439,0.70101,0.664193,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj2,3273,1624,2766,507,0.692637,0.615385,0.634852,9,15,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj0,3222,1675,2730,492,0.751707,0.729675,0.690149,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj1,3289,1608,2788,501,0.731225,0.662675,0.615672,11,17,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj2,3283,1614,2794,489,0.766677,0.711656,0.651797,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj0,3229,1668,2737,492,0.699907,0.691057,0.616906,7,13,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj1,3288,1609,2793,495,0.753345,0.666667,0.672467,18,24,2770
imagery_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260918,subj2,3277,1620,2782,495,0.758926,0.713131,0.703086,19,25,2770
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260916,trial0,3264,1633,2774,490,0.780331,0.671429,0.627067,6,12,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260916,trial1,3265,1632,2775,490,0.861868,0.685714,0.650735,10,16,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260916,trial2,3265,1632,2775,490,0.819602,0.681633,0.655637,7,13,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260917,trial0,3264,1633,2774,490,0.913909,0.683673,0.669933,15,21,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260917,trial1,3265,1632,2775,490,0.935069,0.665306,0.665441,20,26,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260917,trial2,3265,1632,2775,490,0.943645,0.677551,0.658088,23,29,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260918,trial0,3264,1633,2774,490,0.877757,0.64898,0.6485,12,18,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260918,trial1,3265,1632,2775,490,0.798775,0.661224,0.625613,10,16,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,trial_random,20260918,trial2,3265,1632,2775,490,0.819908,0.671429,0.636029,7,13,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run0,3265,1632,2775,490,0.930168,0.683673,0.646446,18,24,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run1,3265,1632,2775,490,0.785299,0.655102,0.63848,5,11,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run2,3264,1633,2774,490,0.824142,0.683673,0.631966,8,14,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run0,3265,1632,2775,490,0.888208,0.669388,0.642157,13,19,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run1,3265,1632,2775,490,0.841348,0.65102,0.645221,9,15,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run2,3264,1633,2774,490,0.948223,0.702041,0.65891,22,28,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run0,3265,1632,2775,490,0.868606,0.685714,0.666667,13,19,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run1,3265,1632,2775,490,0.871057,0.659184,0.635417,11,17,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run2,3264,1633,2774,490,0.927083,0.702041,0.641764,17,23,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj0,3241,1656,2746,495,0.802222,0.630303,0.637077,6,12,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj1,3280,1617,2785,495,0.825,0.705051,0.620903,7,13,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj2,3273,1624,2766,507,0.832875,0.637081,0.652094,9,15,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj0,3222,1675,2730,492,0.896338,0.715447,0.660896,13,19,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj1,3289,1608,2788,501,0.729097,0.61477,0.598259,6,12,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj2,3283,1614,2794,489,0.856229,0.658487,0.623916,10,16,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj0,3229,1668,2737,492,0.687829,0.642276,0.573141,2,8,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj1,3288,1609,2793,495,0.907543,0.660606,0.6445,13,19,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj2,3277,1620,2782,495,0.90357,0.662626,0.645062,17,23,106482
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial0,3252,1627,2764,488,0.839483,0.764344,0.767056,30,36,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial1,3253,1626,2765,488,0.837381,0.770492,0.743542,30,36,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial2,3253,1626,2765,488,0.78174,0.713115,0.707872,18,24,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial0,3252,1627,2764,488,0.792128,0.735656,0.714198,20,26,2770
