dataset,task,model,contrast,protocol_a,protocol_b,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm,family
bci2a,bci2a_left_right,csp_lda,subject_overlap_component_run,run_disjoint,loso,9,0.70679,0.65625,0.0505399,0.0212189,0.0860338,1,0.0078125,0.0079992,8,1,0.140625,bci2a/bci2a_left_right
bci2a,bci2a_left_right,csp_lda,subject_overlap_component_session,session_disjoint,loso,9,0.681327,0.65625,0.0250772,0.00423403,0.0451391,3,0.078125,0.0630937,6,1,0.742188,bci2a/bci2a_left_right
bci2a,bci2a_left_right,csp_lda,groupkfold5_vs_loso,subject_disjoint_5,loso,9,0.661883,0.65625,0.0056326,-0.0114991,0.026005,22,1,0.650035,5,4,1,bci2a/bci2a_left_right
bci2a,bci2a_left_right,csp_lda,run_session_component,trial_random_2,session_disjoint,9,0.687654,0.681327,0.00632698,-0.0144289,0.0272394,17,0.570312,0.568043,5,4,1,bci2a/bci2a_left_right
bci2a,bci2a_left_right,csp_lda,run_temporal_component,trial_random_6,run_disjoint,9,0.699768,0.70679,-0.00702151,-0.0107254,-0.00316331,3,0.0195312,0.0141986,1,8,0.292969,bci2a/bci2a_left_right
bci2a,bci2a_left_right,csp_lda,delta_leak_original_definition,trial_random_6,loso,9,0.699768,0.65625,0.0435184,0.0130382,0.0782445,5,0.0390625,0.0264974,7,2,0.507812,bci2a/bci2a_left_right
bci2a,bci2a_left_right,csp_lda,calibration_gap,within_session,loso,9,0.75,0.65625,0.0937498,0.0601849,0.126929,0,0.00390625,0.00389961,9,0,0.109375,bci2a/bci2a_left_right
bci2a,bci2a_left_right,eegnet_v4,subject_overlap_component_run,run_disjoint,loso,9,0.723122,0.628858,0.0942644,0.0577385,0.132073,0,0.00390625,0.00389961,9,0,0.109375,bci2a/bci2a_left_right
bci2a,bci2a_left_right,eegnet_v4,subject_overlap_component_session,session_disjoint,loso,9,0.687629,0.628858,0.0587706,0.0343364,0.0821792,0,0.00390625,0.00389961,9,0,0.109375,bci2a/bci2a_left_right
bci2a,bci2a_left_right,eegnet_v4,groupkfold5_vs_loso,subject_disjoint_5,loso,9,0.675026,0.628858,0.0461676,0.0231481,0.070605,1,0.0078125,0.00859914,8,1,0.140625,bci2a/bci2a_left_right
bci2a,bci2a_left_right,eegnet_v4,run_session_component,trial_random_2,session_disjoint,9,0.654064,0.687629,-0.0335649,-0.0523407,-0.0119566,4,0.0273438,0.0217978,1,8,0.382812,bci2a/bci2a_left_right
bci2a,bci2a_left_right,eegnet_v4,run_temporal_component,trial_random_6,run_disjoint,9,0.711548,0.723122,-0.0115741,-0.0199333,-0.00180041,6,0.0546875,0.0640936,2,7,0.65625,bci2a/bci2a_left_right
bci2a,bci2a_left_right,eegnet_v4,delta_leak_original_definition,trial_random_6,loso,9,0.711548,0.628858,0.0826902,0.049508,0.114853,0,0.00390625,0.00389961,9,0,0.109375,bci2a/bci2a_left_right
bci2a,bci2a_left_right,eegnet_v4,calibration_gap,within_session,loso,9,0.510802,0.628858,-0.118056,-0.176444,-0.0568417,2,0.0117188,0.0121988,1,8,0.1875,bci2a/bci2a_left_right
bci2a,bci2a_left_right,riemann_ts_lr,subject_overlap_component_run,run_disjoint,loso,9,0.756558,0.658565,0.0979938,0.0597993,0.133497,0,0.00390625,0.00389961,9,0,0.109375,bci2a/bci2a_left_right
bci2a,bci2a_left_right,riemann_ts_lr,subject_overlap_component_session,session_disjoint,loso,9,0.694444,0.658565,0.0358796,0.00347211,0.06983,6.5,0.0742188,0.0676932,8,1,0.742188,bci2a/bci2a_left_right
