model,k,n,mean_acc,ci_low,ci_high,diff_vs_k0,diff_ci_low,diff_ci_high,p_wilcoxon,p_signflip,p_holm
csp_lda,0,109,0.596139,0.575791,0.618117,0,0,0,1,1,1
csp_lda,4,109,0.597971,0.577874,0.62114,0.00183198,-0.00235873,0.00566924,0.20146,0.377662,0.805842
csp_lda,8,109,0.595791,0.575297,0.619481,-0.000348349,-0.00526924,0.00418899,0.858006,0.89651,1
csp_lda,16,109,0.598358,0.577205,0.621902,0.00221866,-0.00399846,0.00854821,0.402944,0.505649,1
csp_lda,30,109,0.597791,0.575841,0.622029,0.0016515,-0.00791886,0.0125624,0.792924,0.766723,1
csp_lda,ref_within_subject,109,0.644241,0.621695,0.669551,,,,,,
csp_lda,ref_subject_disjoint,109,0.594973,0.576514,0.614672,,,,,,
eegnet_v4,0,109,0.703258,0.681946,0.723867,0,0,0,1,1,1
eegnet_v4,4,109,0.670584,0.65145,0.691446,-0.032674,-0.0464303,-0.0189181,1.55729e-05,9.999e-05,6.22917e-05
eegnet_v4,8,109,0.683539,0.662948,0.705495,-0.0197186,-0.0332985,-0.00521148,0.00132388,0.00569943,0.00397163
eegnet_v4,16,109,0.691404,0.67131,0.713642,-0.0118532,-0.0249464,0.00195944,0.052999,0.0923908,0.105998
eegnet_v4,30,109,0.702194,0.680574,0.725092,-0.00106379,-0.0165886,0.0152804,0.800978,0.894011,0.800978
eegnet_v4,ref_within_subject,109,0.527892,0.516645,0.539505,,,,,,
eegnet_v4,ref_subject_disjoint,109,0.728235,0.710423,0.745629,,,,,,
riemann_ts_lr,0,109,0.583077,0.56459,0.602185,0,0,0,1,1,1
riemann_ts_lr,4,109,0.623618,0.602016,0.644679,0.0405413,0.0290936,0.0531094,1.52448e-08,9.999e-05,1.52448e-08
riemann_ts_lr,8,109,0.637535,0.61542,0.659255,0.0544576,0.04053,0.0693715,3.45402e-10,9.999e-05,1.03621e-09
riemann_ts_lr,16,109,0.646166,0.621749,0.669518,0.0630891,0.0474522,0.0793453,4.03772e-10,9.999e-05,1.03621e-09
riemann_ts_lr,30,109,0.652691,0.626959,0.676127,0.0696138,0.0530913,0.0863844,5.19423e-11,9.999e-05,2.07769e-10
riemann_ts_lr,ref_within_subject,109,0.681551,0.660289,0.703284,,,,,,
riemann_ts_lr,ref_subject_disjoint,109,0.593576,0.578715,0.609091,,,,,,
