dataset,task,model,contrast,protocol_a,protocol_b,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm,family
eegbci,imagery_fists_feet,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.578732,0.573328,0.00540389,-0.00419348,0.0158331,2666,0.39585,0.292371,63,45,0.39585,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.555773,0.578732,-0.0229594,-0.0349779,-0.0117176,1822.5,0.000917362,0.00039996,43,64,0.00183472,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.555773,0.573328,-0.0175555,-0.0274824,-0.00810153,1773.5,0.000526201,0.00059994,35,72,0.0015786,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.645379,0.582402,0.0629767,0.0481275,0.0773415,712,8.00957e-12,9.999e-05,85,23,4.80574e-11,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.61748,0.645379,-0.0278982,-0.0366654,-0.019087,1295.5,2.66646e-07,9.999e-05,35,74,1.33323e-06,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.61748,0.582402,0.0350785,0.0220299,0.0485143,1518,7.71437e-06,9.999e-05,70,39,3.08575e-05,eegbci/imagery_fists_feet
eegbci,imagery_left_right_fist,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.591551,0.58881,0.00274092,-0.00668215,0.0132297,2571,0.724819,0.590941,52,51,0.724819,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.574862,0.591551,-0.0166898,-0.0268125,-0.006524,1960.5,0.00390413,0.00119988,40,67,0.0117124,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.574862,0.58881,-0.0139488,-0.0208412,-0.00712788,1599.5,9.78347e-05,0.00059994,38,68,0.000391339,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.628259,0.587703,0.0405558,0.0244746,0.0552003,1415,2.8189e-06,9.999e-05,75,33,1.40945e-05,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.624131,0.628259,-0.00412801,-0.0148426,0.00643055,2612,0.310307,0.454155,47,61,0.620614,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.624131,0.587703,0.0364278,0.0241199,0.0488722,1325,4.27111e-07,9.999e-05,74,35,2.56267e-06,eegbci/imagery_left_right_fist
eegbci,paradigm_mean,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.587837,0.584233,0.0036036,-0.00151614,0.008976,2648,0.290682,0.178082,60,49,0.290682,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.567879,0.587837,-0.0199576,-0.0256703,-0.0143885,961,7.42057e-10,9.999e-05,25,84,2.22617e-09,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.567879,0.584233,-0.016354,-0.0205953,-0.012187,944.5,5.40896e-10,9.999e-05,28,81,2.16358e-09,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.673971,0.611032,0.0629387,0.0534239,0.0719765,134.5,4.90463e-18,9.999e-05,100,9,2.94278e-17,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.665393,0.673971,-0.00857745,-0.0139836,-0.00311396,2063.5,0.00474701,0.00279972,45,64,0.00949402,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.665393,0.611032,0.0543613,0.0450844,0.063384,160,9.6131e-18,9.999e-05,98,11,4.80655e-17,eegbci/paradigm_mean
eegbci,real_fists_feet,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.577205,0.572101,0.00510468,-0.00586478,0.0160803,2457.5,0.572643,0.387861,49,53,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.574584,0.577205,-0.0026213,-0.0125024,0.00658702,2668.5,0.493139,0.582642,48,59,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.574584,0.572101,0.00248337,-0.00479843,0.00968738,2978,0.952989,0.524348,50,59,1,eegbci/real_fists_feet
eegbci,real_fists_feet,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.739358,0.654117,0.085241,0.0702389,0.101125,360,1.53809e-15,9.999e-05,95,14,7.69046e-15,eegbci/real_fists_feet
eegbci,real_fists_feet,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.737167,0.739358,-0.00219123,-0.0128135,0.00849502,2663.5,0.312603,0.694131,49,60,1,eegbci/real_fists_feet
eegbci,real_fists_feet,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.737167,0.654117,0.0830497,0.0673513,0.0986726,319.5,5.66544e-16,9.999e-05,94,15,3.39926e-15,eegbci/real_fists_feet
eegbci,real_left_right_fist,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.603859,0.602695,0.00116493,-0.00845658,0.0110857,2752,0.792406,0.811919,53,53,1,eegbci/real_left_right_fist
eegbci,real_left_right_fist,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.5663,0.603859,-0.0375598,-0.0486512,-0.0268416,1018,6.05709e-09,9.999e-05,30,77,1.81713e-08,eegbci/real_left_right_fist
eegbci,real_left_right_fist,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.5663,0.602695,-0.0363949,-0.0452424,-0.0275733,763.5,3.94485e-11,9.999e-05,23,84,1.57794e-10,eegbci/real_left_right_fist
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.682887,0.619905,0.0629814,0.0480767,0.0779135,758,1.28244e-11,9.999e-05,87,22,6.41222e-11,eegbci/real_left_right_fist
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.682794,0.682887,-9.23394e-05,-0.0085688,0.00868338,2955,0.897761,0.982902,54,55,1,eegbci/real_left_right_fist
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.682794,0.619905,0.0628891,0.0486943,0.0779483,449,2.09677e-14,9.999e-05,91,17,1.25806e-13,eegbci/real_left_right_fist
