dataset,task,model,protocol,n_subjects,n_seeds,mean_acc,ci_low,ci_high,sd_subjects,sd_across_seeds
eegbci,imagery_fists_feet,csp_lda_ztrial,run_disjoint,109,1,0.578732,0.559173,0.599253,0.105941,
eegbci,imagery_fists_feet,csp_lda_ztrial,subject_disjoint,109,5,0.573328,0.555791,0.592215,0.0958007,0.0102809
eegbci,imagery_fists_feet,csp_lda_ztrial,trial_random,109,5,0.555773,0.538576,0.57273,0.0910571,0.0046129
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,run_disjoint,109,1,0.645379,0.62374,0.666819,0.115186,
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,subject_disjoint,109,5,0.582402,0.568143,0.596948,0.0792902,0.00784439
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,trial_random,109,5,0.61748,0.597098,0.638947,0.111896,0.00506495
eegbci,imagery_left_right_fist,csp_lda_ztrial,run_disjoint,109,1,0.591551,0.572268,0.612718,0.108119,
eegbci,imagery_left_right_fist,csp_lda_ztrial,subject_disjoint,109,5,0.58881,0.570413,0.608543,0.100278,0.00393092
eegbci,imagery_left_right_fist,csp_lda_ztrial,trial_random,109,5,0.574862,0.556323,0.594358,0.101494,0.00448926
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,run_disjoint,109,1,0.628259,0.606766,0.648725,0.112181,
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,subject_disjoint,109,5,0.587703,0.57294,0.60257,0.0787142,0.00460517
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,trial_random,109,5,0.624131,0.604813,0.644053,0.104982,0.00612317
eegbci,paradigm_mean,csp_lda_ztrial,run_disjoint,109,,0.587837,0.574633,0.60265,0.0739558,
eegbci,paradigm_mean,csp_lda_ztrial,subject_disjoint,109,,0.584233,0.572302,0.597138,0.0664811,
eegbci,paradigm_mean,csp_lda_ztrial,trial_random,109,,0.567879,0.555452,0.581377,0.0680939,
eegbci,paradigm_mean,riemann_ts_lr_ztrial,run_disjoint,109,,0.673971,0.656985,0.689455,0.0881001,
eegbci,paradigm_mean,riemann_ts_lr_ztrial,subject_disjoint,109,,0.611032,0.59873,0.623213,0.0656783,
eegbci,paradigm_mean,riemann_ts_lr_ztrial,trial_random,109,,0.665393,0.649109,0.68212,0.0881198,
eegbci,real_fists_feet,csp_lda_ztrial,run_disjoint,109,1,0.577205,0.557859,0.599074,0.114958,
eegbci,real_fists_feet,csp_lda_ztrial,subject_disjoint,109,5,0.572101,0.5558,0.589533,0.090096,0.00665966
eegbci,real_fists_feet,csp_lda_ztrial,trial_random,109,5,0.574584,0.556443,0.59384,0.101327,0.00731243
eegbci,real_fists_feet,riemann_ts_lr_ztrial,run_disjoint,109,1,0.739358,0.71408,0.763724,0.131127,
eegbci,real_fists_feet,riemann_ts_lr_ztrial,subject_disjoint,109,5,0.654117,0.633393,0.675272,0.11316,0.0035941
eegbci,real_fists_feet,riemann_ts_lr_ztrial,trial_random,109,5,0.737167,0.711341,0.76114,0.130913,0.00369869
eegbci,real_left_right_fist,csp_lda_ztrial,run_disjoint,109,1,0.603859,0.587164,0.620547,0.0893842,
eegbci,real_left_right_fist,csp_lda_ztrial,subject_disjoint,109,5,0.602695,0.586947,0.617945,0.0822179,0.00418934
eegbci,real_left_right_fist,csp_lda_ztrial,trial_random,109,5,0.5663,0.553229,0.578966,0.0704495,0.0109033
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,run_disjoint,109,1,0.682887,0.662732,0.701686,0.107493,
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,subject_disjoint,109,5,0.619905,0.603349,0.636582,0.088963,0.00673948
eegbci,real_left_right_fist,riemann_ts_lr_ztrial,trial_random,109,5,0.682794,0.663061,0.70143,0.103003,0.00733359
