dataset,task,model,protocol,n_subjects,n_seeds,mean_acc,ci_low,ci_high,sd_subjects,sd_across_seeds
bci2a,bci2a_left_right,csp_lda,loso,9,1,0.65625,0.587963,0.728019,0.116798,
bci2a,bci2a_left_right,csp_lda,run_disjoint,9,1,0.70679,0.620361,0.793229,0.141364,
bci2a,bci2a_left_right,csp_lda,session_disjoint,9,1,0.681327,0.598756,0.76197,0.134061,
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,9,5,0.661883,0.585953,0.739529,0.12574,0.0145908
bci2a,bci2a_left_right,csp_lda,trial_random_2,9,5,0.687654,0.602849,0.771611,0.138695,0.00580375
bci2a,bci2a_left_right,csp_lda,trial_random_6,9,5,0.699768,0.61304,0.784956,0.141773,0.00498113
bci2a,bci2a_left_right,csp_lda,within_session,9,1,0.75,0.665123,0.832562,0.135706,
bci2a,bci2a_left_right,riemann_ts_lr,loso,9,1,0.658565,0.584085,0.735735,0.120794,
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,9,1,0.756558,0.669357,0.836815,0.137246,
bci2a,bci2a_left_right,riemann_ts_lr,session_disjoint,9,1,0.694444,0.618817,0.772,0.125709,
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,9,5,0.659645,0.585623,0.735519,0.121596,0.00599176
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,9,5,0.754244,0.671372,0.832099,0.132083,0.0107473
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,9,5,0.755941,0.671595,0.83403,0.133919,0.00461036
bci2a,bci2a_left_right,riemann_ts_lr,within_session,9,1,0.75,0.655083,0.838358,0.149497,
eegbci,imagery_fists_feet,csp_lda,run_disjoint,109,1,0.60073,0.577601,0.623481,0.119908,
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,109,5,0.592643,0.571164,0.614006,0.112807,0.00483236
eegbci,imagery_fists_feet,csp_lda,trial_random,109,5,0.582366,0.562232,0.60207,0.10562,0.0161984
eegbci,imagery_fists_feet,csp_lda,within_subject,109,1,0.667316,0.64133,0.695148,0.143069,
eegbci,imagery_fists_feet,riemann_ts_lr,run_disjoint,109,1,0.644013,0.622016,0.666942,0.117817,
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,109,5,0.587492,0.571531,0.604192,0.088858,0.00447667
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,109,5,0.631104,0.608803,0.654525,0.12164,0.00277386
eegbci,imagery_fists_feet,riemann_ts_lr,within_subject,109,1,0.696448,0.670495,0.723244,0.141695,
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,109,1,0.608901,0.587278,0.633031,0.120089,
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,109,5,0.597303,0.57737,0.620477,0.111967,0.00624769
eegbci,imagery_left_right_fist,csp_lda,trial_random,109,5,0.564298,0.548734,0.582051,0.0858919,0.0235099
eegbci,imagery_left_right_fist,csp_lda,within_subject,109,1,0.621167,0.595843,0.648728,0.137861,
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,109,1,0.653323,0.630125,0.676608,0.122409,
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,109,5,0.599659,0.581917,0.618289,0.0943004,0.00885103
eegbci,imagery_left_right_fist,riemann_ts_lr,trial_random,109,5,0.646735,0.625562,0.66811,0.115678,0.00448112
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,109,1,0.666654,0.643225,0.691428,0.129477,
eegbci,paradigm_mean,csp_lda,run_disjoint,109,,0.578532,0.565171,0.591872,0.0697022,
eegbci,paradigm_mean,csp_lda,subject_disjoint,109,,0.569514,0.558321,0.581123,0.0604176,
eegbci,paradigm_mean,csp_lda,trial_random,109,,0.55391,0.543598,0.564596,0.0550195,
eegbci,paradigm_mean,csp_lda,within_subject,109,,0.675828,0.65735,0.695348,0.10159,
eegbci,paradigm_mean,riemann_ts_lr,run_disjoint,109,,0.688173,0.670661,0.705511,0.0923998,
eegbci,paradigm_mean,riemann_ts_lr,subject_disjoint,109,,0.620273,0.605936,0.634592,0.0770227,
eegbci,paradigm_mean,riemann_ts_lr,trial_random,109,,0.685487,0.668108,0.703278,0.0929491,
eegbci,paradigm_mean,riemann_ts_lr,within_subject,109,,0.706965,0.689222,0.726089,0.0982428,
eegbci,real_fists_feet,csp_lda,run_disjoint,109,1,0.515059,0.500437,0.530094,0.0768133,
eegbci,real_fists_feet,csp_lda,subject_disjoint,109,5,0.507244,0.498128,0.516035,0.0478104,0.00549859
eegbci,real_fists_feet,csp_lda,trial_random,109,5,0.5142,0.505587,0.523645,0.0493066,0.0063324
