task,C,acc_trial_random,acc_trial_random_ci_low,acc_trial_random_ci_high,acc_run_disjoint,acc_run_disjoint_ci_low,acc_run_disjoint_ci_high,acc_subject_disjoint,acc_subject_disjoint_ci_low,acc_subject_disjoint_ci_high,d12_mean,d12_ci_low,d12_ci_high,d12_p,d02_mean,d02_ci_low,d02_ci_high,d02_p,n
imagery_fists_feet,0.0001,0.54147,0.527749,0.556575,0.605897,0.584686,0.628815,0.581708,0.563957,0.600765,0.0241891,0.0146056,0.0338833,1.05256e-05,-0.0402384,-0.0527092,-0.0271538,1.20821e-07,109
imagery_fists_feet,0.001,0.594556,0.57144,0.618405,0.630836,0.607295,0.656379,0.606569,0.583975,0.630482,0.0242676,0.0160419,0.0326892,2.86756e-07,-0.0120123,-0.0212089,-0.00269986,0.0148212,109
imagery_fists_feet,0.01,0.64288,0.617225,0.668445,0.678412,0.653112,0.702805,0.618511,0.596381,0.641947,0.0599002,0.0481919,0.0715188,1.95516e-14,0.0243685,0.0121971,0.0367019,0.00105955,109
imagery_fists_feet,0.1,0.655918,0.630798,0.680636,0.677731,0.653099,0.702039,0.60643,0.586092,0.627528,0.071301,0.0540354,0.0885607,1.05707e-11,0.0494878,0.033573,0.0659404,1.0227e-07,109
imagery_fists_feet,1.0,0.631104,0.608803,0.654525,0.644013,0.622016,0.666942,0.587492,0.571531,0.604192,0.0565205,0.0422446,0.0717053,8.82115e-11,0.043612,0.0299226,0.0582364,1.01395e-07,109
imagery_fists_feet,10.0,0.608673,0.588988,0.629461,0.62509,0.604238,0.646865,0.575885,0.562235,0.589963,0.0492049,0.0352477,0.0646462,1.20613e-08,0.0327877,0.0207551,0.0465969,8.87253e-06,109
imagery_fists_feet,100.0,0.603953,0.585163,0.624265,0.621115,0.599748,0.642792,0.57098,0.557483,0.584958,0.0501354,0.0360566,0.0657097,3.37934e-09,0.0329734,0.0216593,0.0465454,2.69471e-06,109
imagery_fists_feet,1000.0,0.61059,0.590668,0.631464,0.622725,0.602868,0.643335,0.576552,0.562268,0.591328,0.0461729,0.0321239,0.0618966,1.33774e-07,0.0340381,0.0216465,0.0478407,2.4014e-05,109
imagery_fists_feet,spearman_d12_vs_x,,,,,,,,,,0.214286,,,0.610344,,,,,8
imagery_left_right_fist,0.0001,0.529388,0.519271,0.539664,0.569987,0.553064,0.587816,0.560691,0.54479,0.577498,0.00929537,0.00306182,0.0154741,0.0134213,-0.0313035,-0.0434895,-0.0197868,3.67076e-06,109
imagery_left_right_fist,0.001,0.574474,0.556578,0.595216,0.616674,0.595422,0.640134,0.598192,0.579045,0.618997,0.0184826,0.00954095,0.0281851,0.000834235,-0.0237179,-0.0332311,-0.0141821,6.98058e-06,109
imagery_left_right_fist,0.01,0.640663,0.615278,0.66686,0.675477,0.649391,0.701991,0.615803,0.593986,0.639168,0.0596743,0.0441058,0.0770204,4.35089e-11,0.0248601,0.0107388,0.0406167,0.0101593,109
imagery_left_right_fist,0.1,0.668114,0.642964,0.693043,0.684265,0.659353,0.70849,0.616813,0.595817,0.638316,0.0674521,0.0495082,0.0842879,2.73315e-11,0.0513006,0.03521,0.0676947,2.51147e-08,109
imagery_left_right_fist,1.0,0.646735,0.625562,0.66811,0.653323,0.630125,0.676608,0.599659,0.581917,0.618289,0.0536641,0.0373146,0.0697981,9.07466e-09,0.0470756,0.0333335,0.0610501,1.97716e-09,109
imagery_left_right_fist,10.0,0.62194,0.603792,0.640862,0.625526,0.604456,0.646253,0.584976,0.570069,0.601508,0.0405494,0.0261002,0.0544878,3.70762e-06,0.036963,0.024848,0.0488678,4.52226e-08,109
imagery_left_right_fist,100.0,0.617277,0.59922,0.635919,0.621681,0.601171,0.643231,0.583829,0.568866,0.600167,0.0378514,0.0230807,0.0524009,1.33054e-05,0.0334481,0.0215315,0.0456916,3.85303e-07,109
imagery_left_right_fist,1000.0,0.626069,0.607176,0.645253,0.62548,0.605031,0.646163,0.590052,0.574674,0.606414,0.0354284,0.0211837,0.049658,1.84833e-05,0.0360169,0.023556,0.047996,4.27969e-07,109
imagery_left_right_fist,spearman_d12_vs_x,,,,,,,,,,0.190476,,,0.651401,,,,,8
paradigm_mean,0.0001,0.547564,0.538234,0.557703,0.601664,0.588513,0.615783,0.588351,0.577038,0.600383,0.0133126,0.00816547,0.018465,1.59867e-06,-0.040787,-0.0474812,-0.03418,8.46732e-17,109
paradigm_mean,0.001,0.607374,0.591809,0.624223,0.646373,0.629257,0.66508,0.620928,0.605218,0.637938,0.0254451,0.0197928,0.0315441,2.2074e-12,-0.0135537,-0.0192223,-0.00769774,4.39004e-05,109
paradigm_mean,0.01,0.677587,0.657427,0.698405,0.703884,0.684246,0.723481,0.639779,0.622678,0.657263,0.0641047,0.0553204,0.0733546,8.47438e-19,0.0378084,0.0287235,0.0477186,1.82751e-11,109
paradigm_mean,0.1,0.707178,0.687609,0.727486,0.715498,0.69703,0.734022,0.637294,0.620579,0.654032,0.078204,0.068177,0.0882986,2.16131e-19,0.0698844,0.0593403,0.0810383,2.00788e-18,109
