task,variant,contrast,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm
imagery_fists_feet,feature_centered,subject_overlap_component,109,0.661163,0.648583,0.0125807,0.00286193,0.0230992,2169.5,0.017745,0.0166983,59,49,0.0532349
imagery_fists_feet,feature_centered,delta_leak_original_definition,109,0.660724,0.648583,0.012141,0.00541173,0.0187252,1743,0.000574206,0.00049995,69,37,0.00344524
imagery_fists_feet,feature_centered,run_temporal_component,109,0.660724,0.661163,-0.000439703,-0.011393,0.00992337,2969,0.931336,0.936306,54,55,0.931336
imagery_fists_feet,riemann_recentered,subject_overlap_component,109,0.671857,0.654375,0.017482,0.00762319,0.0271028,1828.5,0.00150366,0.00059994,65,41,0.00751829
imagery_fists_feet,riemann_recentered,delta_leak_original_definition,109,0.663245,0.654375,0.00887091,0.00271833,0.014791,1953.5,0.00364207,0.00349965,64,43,0.0145683
imagery_fists_feet,riemann_recentered,run_temporal_component,109,0.663245,0.671857,-0.00861105,-0.0176735,0.000600504,2281.5,0.0590078,0.069793,46,61,0.118016
imagery_left_right_fist,feature_centered,subject_overlap_component,109,0.682246,0.669041,0.0132051,0.00246761,0.0232032,1934.5,0.00131018,0.0122988,68,41,0.00524073
imagery_left_right_fist,feature_centered,delta_leak_original_definition,109,0.6791,0.669041,0.0100595,0.00442431,0.0156598,1901,0.00213475,0.00189981,67,40,0.00640425
imagery_left_right_fist,feature_centered,run_temporal_component,109,0.6791,0.682246,-0.0031456,-0.0135086,0.00717852,2640,0.353016,0.547545,47,61,0.353016
imagery_left_right_fist,riemann_recentered,subject_overlap_component,109,0.695187,0.675627,0.0195602,0.010536,0.0283073,1548,1.90331e-05,9.999e-05,77,31,0.000114199
imagery_left_right_fist,riemann_recentered,delta_leak_original_definition,109,0.686979,0.675627,0.0113517,0.00596406,0.016978,1711.5,0.00016012,9.999e-05,76,32,0.000800601
imagery_left_right_fist,riemann_recentered,run_temporal_component,109,0.686979,0.695187,-0.00820853,-0.017363,0.00126218,2400,0.0960334,0.0856914,47,61,0.192067
paradigm_mean,feature_centered,subject_overlap_component,109,0.717324,0.697663,0.0196606,0.0137997,0.0255432,1142,2.02734e-08,9.999e-05,80,29,6.08201e-08
paradigm_mean,feature_centered,delta_leak_original_definition,109,0.717661,0.697663,0.0199973,0.0160158,0.0238446,431,8.54664e-15,9.999e-05,94,15,4.27332e-14
paradigm_mean,feature_centered,run_temporal_component,109,0.717661,0.717324,0.000336626,-0.00452867,0.00521146,2942,0.866748,0.894411,55,54,1
paradigm_mean,riemann_recentered,subject_overlap_component,109,0.723094,0.701187,0.021907,0.0163596,0.0277568,804.5,3.35702e-11,9.999e-05,87,22,1.34281e-10
paradigm_mean,riemann_recentered,delta_leak_original_definition,109,0.721148,0.701187,0.0199608,0.0160798,0.0241613,309,4.3631e-16,9.999e-05,95,14,2.61786e-15
paradigm_mean,riemann_recentered,run_temporal_component,109,0.721148,0.723094,-0.00194625,-0.00673629,0.00288731,2868,0.695419,0.434257,51,58,1
real_fists_feet,feature_centered,subject_overlap_component,109,0.782198,0.745005,0.0371932,0.0250508,0.0492755,1141.5,2.0093e-08,9.999e-05,80,29,8.03719e-08
real_fists_feet,feature_centered,delta_leak_original_definition,109,0.785051,0.745005,0.0400459,0.0293663,0.0512178,603,7.36313e-13,9.999e-05,87,21,4.41788e-12
real_fists_feet,feature_centered,run_temporal_component,109,0.785051,0.782198,0.00285277,-0.00482534,0.0107487,2593,0.357579,0.491651,56,51,0.357579
real_fists_feet,riemann_recentered,subject_overlap_component,109,0.78043,0.747524,0.0329059,0.0212053,0.0449592,1261.5,1.53404e-07,9.999e-05,79,30,4.60211e-07
real_fists_feet,riemann_recentered,delta_leak_original_definition,109,0.78644,0.747524,0.0389161,0.0272961,0.0520602,733.5,7.66033e-12,9.999e-05,86,23,3.83016e-11
real_fists_feet,riemann_recentered,run_temporal_component,109,0.78644,0.78043,0.00601019,-0.00186807,0.0138881,2292.5,0.0869892,0.130087,60,46,0.173978
real_left_right_fist,feature_centered,subject_overlap_component,109,0.743688,0.728025,0.0156636,0.00596229,0.0262489,2146,0.0100436,0.00239976,66,43,0.0301308
real_left_right_fist,feature_centered,delta_leak_original_definition,109,0.745767,0.728025,0.0177426,0.0120411,0.0238559,1209,1.7738e-07,9.999e-05,75,32,8.86898e-07
real_left_right_fist,feature_centered,run_temporal_component,109,0.745767,0.743688,0.00207903,-0.00773612,0.0113862,2680,0.515963,0.673533,57,50,0.515963
real_left_right_fist,riemann_recentered,subject_overlap_component,109,0.744904,0.727223,0.01768,0.00785302,0.0291324,1982.5,0.00215016,0.00079992,66,43,0.00860066
real_left_right_fist,riemann_recentered,delta_leak_original_definition,109,0.747928,0.727223,0.0207044,0.0148756,0.0273675,1035.5,8.36505e-09,9.999e-05,79,28,5.01903e-08
real_left_right_fist,riemann_recentered,run_temporal_component,109,0.747928,0.744904,0.00302438,-0.00583839,0.0116784,2522,0.254011,0.482052,59,48,0.508022
