task,d,acc_trial_random,acc_trial_random_ci_low,acc_trial_random_ci_high,acc_run_disjoint,acc_run_disjoint_ci_low,acc_run_disjoint_ci_high,acc_subject_disjoint,acc_subject_disjoint_ci_low,acc_subject_disjoint_ci_high,d12_mean,d12_ci_low,d12_ci_high,d12_p,d02_mean,d02_ci_low,d02_ci_high,d02_p,n
imagery_fists_feet,2.0,0.484509,0.477682,0.490856,0.504914,0.499151,0.510744,0.498358,0.494023,0.502564,0.00655641,0.00121223,0.0118753,0.0510536,-0.0138482,-0.0214174,-0.00645857,0.000820906,109
imagery_fists_feet,4.0,0.485561,0.480014,0.490948,0.510998,0.503089,0.519676,0.505729,0.501843,0.509523,0.00526912,-0.00177975,0.0127497,0.610813,-0.0201688,-0.0265804,-0.0137956,1.42206e-08,109
imagery_fists_feet,8.0,0.497192,0.490533,0.504429,0.508442,0.500574,0.516791,0.512476,0.506351,0.518729,-0.00403386,-0.0111601,0.00327554,0.173108,-0.0152842,-0.0214122,-0.00894933,2.58624e-05,109
imagery_fists_feet,16.0,0.509303,0.501206,0.517989,0.516767,0.506418,0.527863,0.523722,0.515305,0.532658,-0.00695526,-0.0158136,0.00203653,0.0431227,-0.0144186,-0.021126,-0.00780761,4.47768e-05,109
imagery_fists_feet,32.0,0.526646,0.515593,0.537796,0.540098,0.526521,0.554331,0.554041,0.540417,0.567732,-0.013943,-0.0243186,-0.00361477,0.0172406,-0.0273956,-0.0356192,-0.0190334,4.85702e-08,109
imagery_fists_feet,64.0,0.566623,0.547426,0.587605,0.592516,0.570362,0.615395,0.584331,0.566057,0.603177,0.00818485,-0.00479899,0.0227059,0.392451,-0.0177082,-0.0286651,-0.00618073,0.000751134,109
imagery_fists_feet,128.0,0.654539,0.627205,0.680464,0.674568,0.648413,0.699163,0.613955,0.591974,0.63679,0.0606128,0.0451754,0.0779574,2.4405e-11,0.0405837,0.0257428,0.0570778,6.55793e-06,109
imagery_fists_feet,256.0,0.661756,0.634651,0.687294,0.676506,0.649243,0.702315,0.605988,0.586024,0.626351,0.0705178,0.0537735,0.0889453,6.89549e-12,0.0557679,0.0396219,0.0738567,2.5642e-08,109
imagery_fists_feet,512.0,0.658625,0.633546,0.68345,0.671797,0.645413,0.698527,0.600411,0.5808,0.620508,0.0713856,0.0544406,0.0888967,1.89068e-11,0.0582136,0.0424612,0.0751721,4.20936e-09,109
imagery_fists_feet,1024.0,0.646001,0.622956,0.669901,0.66098,0.636449,0.685485,0.595809,0.576817,0.615676,0.0651715,0.0485955,0.0818816,3.56925e-11,0.0501921,0.0361918,0.0645192,1.05551e-08,109
imagery_fists_feet,2080.0,0.631104,0.608803,0.654525,0.644013,0.622016,0.666942,0.587492,0.571531,0.604192,0.0565205,0.0422446,0.0717053,8.82115e-11,0.043612,0.0299226,0.0582364,1.01395e-07,109
imagery_fists_feet,spearman_d12_vs_x,,,,,,,,,,0.7,,,0.016471,,,,,11
imagery_left_right_fist,2.0,0.495409,0.489935,0.500486,0.502983,0.498133,0.507873,0.502863,0.499244,0.506357,0.000119639,-0.00361904,0.00395799,0.851835,-0.00745435,-0.0123316,-0.00273013,0.000772511,109
imagery_left_right_fist,4.0,0.498877,0.493462,0.504208,0.506842,0.501681,0.512134,0.505831,0.501747,0.509975,0.00101115,-0.00347342,0.00558438,0.919765,-0.00695329,-0.0124114,-0.00173043,0.0104098,109
