task,clf,contrast,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm
imagery_fists_feet,knn,subject_overlap_component,109,0.634857,0.51682,0.118037,0.0940198,0.144573,723,6.13855e-12,9.999e-05,83,26,1.04355e-10
imagery_fists_feet,knn,delta_leak_original_definition,109,0.543834,0.51682,0.027014,0.00254757,0.0537039,2662,0.389068,0.0454955,53,55,0.778135
imagery_fists_feet,knn,run_temporal_component,109,0.543834,0.634857,-0.0910234,-0.106917,-0.0743815,405.5,4.64056e-15,9.999e-05,17,92,8.35301e-14
imagery_fists_feet,linsvm,subject_overlap_component,109,0.620372,0.569912,0.0504595,0.0367077,0.0662952,1086.5,7.58401e-09,9.999e-05,78,31,1.1376e-07
imagery_fists_feet,linsvm,delta_leak_original_definition,109,0.602424,0.569912,0.0325115,0.0214993,0.0457549,1415.5,1.7284e-06,9.999e-05,73,36,1.55556e-05
imagery_fists_feet,linsvm,run_temporal_component,109,0.602424,0.620372,-0.017948,-0.0297379,-0.00656039,1947,0.00226638,0.00259974,44,64,0.0120844
imagery_fists_feet,lr,subject_overlap_component,109,0.644013,0.587492,0.0565205,0.0422446,0.0717053,827,8.82115e-11,9.999e-05,83,25,1.41138e-09
imagery_fists_feet,lr,delta_leak_original_definition,109,0.631104,0.587492,0.043612,0.0299226,0.0582364,1206,1.01395e-07,9.999e-05,80,28,1.21675e-06
imagery_fists_feet,lr,run_temporal_component,109,0.631104,0.644013,-0.0129085,-0.0218054,-0.00370745,2057.5,0.00448474,0.00619938,42,67,0.0134542
imagery_fists_feet,mdm,subject_overlap_component,109,0.53198,0.530585,0.00139544,-0.00641851,0.00919191,1934,0.920449,0.711029,40,48,0.920449
imagery_fists_feet,mdm,delta_leak_original_definition,109,0.497687,0.530585,-0.0328973,-0.0435222,-0.0223915,1101,9.82856e-09,9.999e-05,34,75,1.376e-07
imagery_fists_feet,mdm,run_temporal_component,109,0.497687,0.53198,-0.0342927,-0.0467424,-0.0216089,1386.5,1.11298e-06,9.999e-05,39,70,1.11298e-05
imagery_fists_feet,ridge,subject_overlap_component,109,0.60589,0.560552,0.0453384,0.0312214,0.0601084,1202,5.68973e-08,9.999e-05,80,29,7.39665e-07
imagery_fists_feet,ridge,delta_leak_original_definition,109,0.586703,0.560552,0.0261505,0.0151082,0.0379436,1630,3.55982e-05,9.999e-05,75,34,0.000284786
imagery_fists_feet,ridge,run_temporal_component,109,0.586703,0.60589,-0.0191879,-0.0304864,-0.00775693,1935.5,0.00201406,0.00119988,41,67,0.0120844
imagery_fists_feet,slda,subject_overlap_component,109,0.616811,0.576623,0.0401886,0.0265076,0.0548386,1275.5,3.20119e-07,9.999e-05,78,30,3.52131e-06
imagery_fists_feet,slda,delta_leak_original_definition,109,0.598018,0.576623,0.0213954,0.00970281,0.0336627,1953,0.00158946,0.00059994,71,38,0.0111262
imagery_fists_feet,slda,run_temporal_component,109,0.598018,0.616811,-0.0187931,-0.0297072,-0.00764174,1973,0.00294699,0.00169983,44,64,0.0120844
