task,model,N,d,n_draws,inflation_mean,ci_low,ci_high,sd
imagery_fists_feet,csp_lda,9,6,10,0.0136375,-0.00567,0.0303451,0.0311587
imagery_fists_feet,csp_lda,18,6,10,-0.0076351,-0.0323809,0.013854,0.0390789
imagery_fists_feet,csp_lda,36,6,10,-0.0114125,-0.0227493,-0.000963235,0.0188382
imagery_fists_feet,csp_lda,72,6,10,-0.0274253,-0.0430722,-0.0135421,0.0256345
imagery_fists_feet,csp_lda,109,6,1,0.006119,nan,nan,
imagery_fists_feet,riemann_ts_lr,9,8,10,-0.091321,-0.108732,-0.0743183,0.0287864
imagery_fists_feet,riemann_ts_lr,9,32,10,0.0526158,0.0101966,0.0934743,0.0708674
imagery_fists_feet,riemann_ts_lr,9,128,10,0.086548,0.047624,0.122612,0.062309
imagery_fists_feet,riemann_ts_lr,9,2080,10,0.0874598,0.052857,0.120669,0.058402
imagery_fists_feet,riemann_ts_lr,18,8,10,-0.0481956,-0.0576108,-0.0391767,0.0162585
imagery_fists_feet,riemann_ts_lr,18,32,10,0.0290113,0.0087931,0.0523771,0.0381351
imagery_fists_feet,riemann_ts_lr,18,128,10,0.0758786,0.0503224,0.103075,0.0454709
imagery_fists_feet,riemann_ts_lr,18,512,10,0.0861738,0.0664401,0.106299,0.0336098
imagery_fists_feet,riemann_ts_lr,18,2080,10,0.0891813,0.0727215,0.106018,0.0282166
imagery_fists_feet,riemann_ts_lr,36,8,10,-0.0243024,-0.0339338,-0.0145242,0.0167585
imagery_fists_feet,riemann_ts_lr,36,32,10,-0.0798444,-0.101656,-0.0565737,0.0365158
imagery_fists_feet,riemann_ts_lr,36,128,10,0.0694291,0.0580689,0.082151,0.0206572
imagery_fists_feet,riemann_ts_lr,36,512,10,0.0695457,0.0579711,0.0805089,0.0193172
imagery_fists_feet,riemann_ts_lr,36,2080,10,0.0688375,0.0572995,0.0800133,0.019722
imagery_fists_feet,riemann_ts_lr,72,8,10,-0.0236045,-0.0280061,-0.0195189,0.00742755
imagery_fists_feet,riemann_ts_lr,72,32,10,-0.0413608,-0.0489765,-0.0330041,0.0138091
imagery_fists_feet,riemann_ts_lr,72,128,10,0.0621323,0.0554576,0.0675384,0.0105477
