dataset,task,model,protocol,n_subjects,n_seeds,mean_acc,ci_low,ci_high,sd_subjects,sd_across_seeds
bci2a,bci2a_left_right,csp_lda,loso,9,1,0.65625,0.587963,0.728019,0.116798,
bci2a,bci2a_left_right,csp_lda,run_disjoint,9,1,0.70679,0.620361,0.793229,0.141364,
bci2a,bci2a_left_right,csp_lda,session_disjoint,9,1,0.681327,0.598756,0.76197,0.134061,
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,9,5,0.661883,0.585953,0.739529,0.12574,0.0145908
bci2a,bci2a_left_right,csp_lda,trial_random_2,9,5,0.687654,0.602849,0.771611,0.138695,0.00580375
bci2a,bci2a_left_right,csp_lda,trial_random_6,9,5,0.699768,0.61304,0.784956,0.141773,0.00498113
bci2a,bci2a_left_right,csp_lda,within_session,9,1,0.75,0.665123,0.832562,0.135706,
bci2a,bci2a_left_right,eegnet_v4,loso,9,3,0.628858,0.573033,0.680186,0.0877895,0.0503722
bci2a,bci2a_left_right,eegnet_v4,run_disjoint,9,3,0.723122,0.632841,0.809671,0.141488,0.0238896
bci2a,bci2a_left_right,eegnet_v4,session_disjoint,9,3,0.687629,0.608407,0.763008,0.124834,0.0772532
bci2a,bci2a_left_right,eegnet_v4,subject_disjoint_5,9,3,0.675026,0.604546,0.745007,0.113282,0.0110768
bci2a,bci2a_left_right,eegnet_v4,trial_random_2,9,3,0.654064,0.572,0.734311,0.131441,0.058984
bci2a,bci2a_left_right,eegnet_v4,trial_random_6,9,3,0.711548,0.624357,0.79412,0.136787,0.019914
bci2a,bci2a_left_right,eegnet_v4,within_session,9,3,0.510802,0.496653,0.527141,0.0249246,0.0137109
bci2a,bci2a_left_right,riemann_ts_lr,loso,9,1,0.658565,0.584085,0.735735,0.120794,
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,9,1,0.756558,0.669357,0.836815,0.137246,
bci2a,bci2a_left_right,riemann_ts_lr,session_disjoint,9,1,0.694444,0.618817,0.772,0.125709,
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,9,5,0.659645,0.585623,0.735519,0.121596,0.00599176
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,9,5,0.754244,0.671372,0.832099,0.132083,0.0107473
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,9,5,0.755941,0.671595,0.83403,0.133919,0.00461036
bci2a,bci2a_left_right,riemann_ts_lr,within_session,9,1,0.75,0.655083,0.838358,0.149497,
bci2a,bci2a_left_right,shallow_fbcsp,loso,9,3,0.660365,0.582931,0.735108,0.123732,0.00754368
bci2a,bci2a_left_right,shallow_fbcsp,run_disjoint,9,3,0.72055,0.626151,0.810584,0.147105,0.00880052
bci2a,bci2a_left_right,shallow_fbcsp,session_disjoint,9,3,0.68107,0.595804,0.764288,0.134949,0.0245292
bci2a,bci2a_left_right,shallow_fbcsp,subject_disjoint_5,9,3,0.648791,0.581141,0.715799,0.109634,0.0198691
bci2a,bci2a_left_right,shallow_fbcsp,trial_random_2,9,3,0.697788,0.603266,0.788201,0.147212,0.00945277
bci2a,bci2a_left_right,shallow_fbcsp,trial_random_6,9,3,0.722608,0.630269,0.812506,0.14669,0.00505977
bci2a,bci2a_left_right,shallow_fbcsp,within_session,9,3,0.597737,0.521859,0.677212,0.123875,0.020727
eegbci,imagery_fists_feet,csp_lda,run_disjoint,109,1,0.60073,0.577601,0.623481,0.119908,
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,109,5,0.592643,0.571164,0.614006,0.112807,0.00483236
eegbci,imagery_fists_feet,csp_lda,trial_random,109,5,0.582366,0.562232,0.60207,0.10562,0.0161984
eegbci,imagery_fists_feet,csp_lda,within_subject,109,1,0.667316,0.64133,0.695148,0.143069,
eegbci,imagery_fists_feet,csp_lda_ztrial,run_disjoint,109,1,0.578732,0.559173,0.599253,0.105941,
eegbci,imagery_fists_feet,csp_lda_ztrial,subject_disjoint,109,5,0.573328,0.555791,0.592215,0.0958007,0.0102809
eegbci,imagery_fists_feet,csp_lda_ztrial,trial_random,109,5,0.555773,0.538576,0.57273,0.0910571,0.0046129
eegbci,imagery_fists_feet,eegnet_v4,run_disjoint,109,3,0.68251,0.660757,0.705466,0.119816,0.0124744
eegbci,imagery_fists_feet,eegnet_v4,subject_disjoint,109,3,0.657376,0.635032,0.679508,0.117867,0.00608762
eegbci,imagery_fists_feet,eegnet_v4,trial_random,109,3,0.686547,0.664029,0.710151,0.122684,0.0127639
eegbci,imagery_fists_feet,eegnet_v4,within_subject,109,1,0.536928,0.521397,0.554482,0.0875834,
