dataset,task,model,contrast,protocol_a,protocol_b,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm,family
eegbci,imagery_fists_feet,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.60073,0.592643,0.00808653,-0.00140766,0.0171465,2172.5,0.12963,0.0919908,55,47,0.518521,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.582366,0.60073,-0.0183639,-0.0270129,-0.0101616,1786.5,0.000251038,9.999e-05,41,68,0.00251038,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.582366,0.592643,-0.0102773,-0.0184691,-0.00194364,2294,0.046667,0.0161984,48,60,0.233335,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.667316,0.592643,0.0746726,0.0542553,0.0962112,1001,1.58035e-09,9.999e-05,85,24,1.89642e-08,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.664093,0.644179,0.0199142,0.00481586,0.0358617,1594.5,0.0338747,0.0154985,55,37,0.203248,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.655465,0.664093,-0.00862746,-0.0218928,0.00605568,1868.5,0.22424,0.229477,43,50,0.672719,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.655465,0.644179,0.0112868,-0.0058248,0.0299918,2005.5,0.307925,0.221278,54,41,0.672719,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.644013,0.587492,0.0565205,0.0422446,0.0717053,827,8.82115e-11,9.999e-05,83,25,1.14675e-09,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.631104,0.644013,-0.0129085,-0.0218054,-0.00370745,2057.5,0.00448474,0.00619938,42,67,0.0313932,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.631104,0.587492,0.043612,0.0299226,0.0582364,1206,1.01395e-07,9.999e-05,80,28,1.11535e-06,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.696448,0.587492,0.108956,0.0884607,0.130121,489.5,3.39378e-14,9.999e-05,92,17,4.75129e-13,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.662176,0.630792,0.0313839,0.0128709,0.0495342,1443.5,0.000781677,0.00139986,65,32,0.0070351,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.641495,0.662176,-0.0206811,-0.035413,-0.00624705,1463.5,0.00242376,0.00679932,38,57,0.0193901,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.641495,0.630792,0.0107028,-0.00876518,0.0300057,1968.5,0.319327,0.293971,49,45,0.672719,eegbci/imagery_fists_feet
eegbci,imagery_left_right_fist,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.608901,0.597303,0.0115975,0.00150115,0.0227901,2186.5,0.0567389,0.030497,54,51,0.283694,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.564298,0.608901,-0.0446027,-0.0568601,-0.0318683,967,1.38909e-09,9.999e-05,21,87,1.94472e-08,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.564298,0.597303,-0.0330053,-0.0424937,-0.023357,952,8.12811e-09,9.999e-05,28,76,9.75373e-08,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.621167,0.597303,0.0238639,0.00462933,0.0446031,2236,0.0588151,0.0229977,60,46,0.283694,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.818795,0.810444,0.00835154,-0.00325172,0.0202346,1825,0.124059,0.169983,56,38,0.350637,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.788083,0.818795,-0.0307121,-0.0417245,-0.0194938,834,6.09653e-07,9.999e-05,22,69,5.48687e-06,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.788083,0.810444,-0.0223605,-0.0352483,-0.00913864,1268,0.00108442,0.00109989,32,59,0.00867535,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.653323,0.599659,0.0536641,0.0373146,0.0697981,1068,9.07466e-09,9.999e-05,79,29,9.98213e-08,eegbci/imagery_left_right_fist
