dataset,task,model,protocol,n_subjects,n_seeds,mean_acc,ci_low,ci_high,sd_subjects,sd_across_seeds
eegbci,imagery_fists_feet,csp_lda,run_disjoint,109,1,0.60073,0.577601,0.623481,0.119908,
eegbci,imagery_fists_feet,csp_lda,subject_disjoint,109,5,0.592643,0.571164,0.614006,0.112807,0.00483236
eegbci,imagery_fists_feet,csp_lda,trial_random,109,5,0.582366,0.562232,0.60207,0.10562,0.0161984
eegbci,imagery_fists_feet,csp_lda,within_subject,109,1,0.667316,0.64133,0.695148,0.143069,
eegbci,imagery_fists_feet,eegnet_v4_globalscale,run_disjoint,109,1,0.664093,0.641394,0.687571,0.126179,
eegbci,imagery_fists_feet,eegnet_v4_globalscale,subject_disjoint,109,1,0.644179,0.620539,0.668859,0.130615,
eegbci,imagery_fists_feet,eegnet_v4_globalscale,trial_random,109,1,0.655465,0.631281,0.680072,0.131664,
eegbci,imagery_fists_feet,riemann_ts_lr,run_disjoint,109,1,0.644013,0.622016,0.666942,0.117817,
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,109,5,0.587492,0.571531,0.604192,0.088858,0.00447667
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,109,5,0.631104,0.608803,0.654525,0.12164,0.00277386
eegbci,imagery_fists_feet,riemann_ts_lr,within_subject,109,1,0.696448,0.670495,0.723244,0.141695,
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,run_disjoint,109,1,0.662176,0.638352,0.686111,0.130373,
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,subject_disjoint,109,1,0.630792,0.608139,0.653613,0.125147,
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,trial_random,109,1,0.641495,0.616646,0.665453,0.132423,
eegbci,imagery_left_right_fist,csp_lda,run_disjoint,109,1,0.608901,0.587278,0.633031,0.120089,
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,109,5,0.597303,0.57737,0.620477,0.111967,0.00624769
eegbci,imagery_left_right_fist,csp_lda,trial_random,109,5,0.564298,0.548734,0.582051,0.0858919,0.0235099
eegbci,imagery_left_right_fist,csp_lda,within_subject,109,1,0.621167,0.595843,0.648728,0.137861,
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,run_disjoint,109,1,0.818795,0.796107,0.840159,0.121994,
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,subject_disjoint,109,1,0.810444,0.786668,0.833108,0.127193,
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,trial_random,109,1,0.788083,0.76615,0.810086,0.120863,
eegbci,imagery_left_right_fist,riemann_ts_lr,run_disjoint,109,1,0.653323,0.630125,0.676608,0.122409,
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,109,5,0.599659,0.581917,0.618289,0.0943004,0.00885103
