analysis,dataset,task,n,mean_delta,ci_low,ci_high,p_wilcoxon,tost_n,tost_mean,tost_p_lower,tost_p_upper,tost_ci90_low,tost_ci90_high,tost_equivalent,tost_margin
e6_target_subject_in_reference,eegbci,imagery_left_right_fist,109,0.0016374,0.00018087,0.00330846,0.0601644,109,0.0016374,3.45105e-27,3.73984e-18,0.000296761,0.00297804,1,0.01
e6_target_subject_in_reference,eegbci,real_left_right_fist,109,0.000117057,-0.000482859,0.000834028,0.654721,109,0.000117057,2.22419e-56,2.1646e-55,-0.000418043,0.000652157,1,0.01
e6_target_subject_in_reference,eegbci,imagery_fists_feet,109,-0.000209831,-0.00114315,0.00078306,0.68447,109,-0.000209831,2.04016e-38,5.52131e-40,-0.00102169,0.000602028,1,0.01
e6_target_subject_in_reference,eegbci,real_fists_feet,109,-0.000332928,-0.00124781,0.00043351,0.224916,109,-0.000332928,1.89735e-43,4.53398e-46,-0.00103517,0.000369318,1,0.01
e6_target_subject_in_reference,eegbci,all_paradigms_pooled,436,0.000302925,-0.000249432,0.000818244,0.39297,436,0.000302925,9.9436e-140,4.47902e-131,-0.000146674,0.000752523,1,0.01
e14_transductive_reference,eegbci,imagery_left_right_fist,109,-0.000791984,-0.00289283,0.00128138,0.464435,109,-0.000791984,4.95176e-14,2.35334e-17,-0.00258279,0.000998825,1,0.01
e14_transductive_reference,eegbci,real_left_right_fist,109,0.000541256,-0.00106229,0.00233328,0.757849,109,0.000541256,5.84396e-22,3.64409e-19,-0.00091268,0.00199519,1,0.01
e14_transductive_reference,eegbci,imagery_fists_feet,109,-0.00163099,-0.00407747,0.000815491,0.227505,109,-0.00163099,5.36807e-10,9.87715e-16,-0.00370945,0.000447469,1,0.01
e14_transductive_reference,eegbci,real_fists_feet,109,-0.000815494,-0.00326197,0.00161642,0.583117,109,-0.000815494,1.35734e-11,1.6161e-14,-0.00286689,0.0012359,1,0.01
e14_transductive_reference,bci2a,bci2a_left_right,9,0,-0.00115741,0.00115741,1,9,0,6.40457e-08,6.40457e-08,-0.00107613,0.00107613,1,0.01
e14_transductive_reference,eegbci,all_paradigms_pooled,436,-0.000674303,-0.00174589,0.00043082,0.227746,436,-0.000674303,8.10881e-49,1.28696e-59,-0.00159751,0.000248908,1,0.01
