task,model,width,n_params,acc_P0,acc_P2,d02_mean,d02_ci_low,d02_ci_high,d02_p,train_test_gap_P0,train_test_gap_P2,n
imagery_fists_feet,eegnet_v4,2,646,0.630543,0.553926,0.0766164,0.0503858,0.103626,1.54867e-06,0.050236,0.032804,109
imagery_fists_feet,eegnet_v4,4,1322,0.644931,0.640205,0.00472589,-0.0121279,0.0213491,0.522867,0.0566593,0.062821,109
imagery_fists_feet,eegnet_v4,8,2770,0.674773,0.659987,0.0147858,-0.00239454,0.0334471,0.264357,0.0894443,0.0917787,109
imagery_fists_feet,eegnet_v4,16,6050,0.675824,0.662005,0.0138191,-0.00286877,0.0303636,0.1067,0.100573,0.122133,109
imagery_fists_feet,eegnet_v4,32,14146,0.690138,0.665439,0.0246982,0.00989181,0.0399117,0.00333575,0.130892,0.131541,109
imagery_fists_feet,eegnet_v4,spearman_d02_vs_width,,,,-0.1,,,0.872889,,,5
imagery_left_right_fist,eegnet_v4,2,646,0.724732,0.601791,0.12294,0.0995824,0.145809,5.23426e-15,0.0266533,0.0249163,109
imagery_left_right_fist,eegnet_v4,4,1322,0.803168,0.768402,0.0347655,0.0192023,0.0502461,0.000350146,0.043588,0.061598,109
imagery_left_right_fist,eegnet_v4,8,2770,0.797731,0.792068,0.00566256,-0.00683781,0.0180728,0.397809,0.060948,0.0772567,109
imagery_left_right_fist,eegnet_v4,16,6050,0.776529,0.740677,0.0358516,0.0200896,0.0518674,3.59306e-05,0.103098,0.099115,109
imagery_left_right_fist,eegnet_v4,32,14146,0.804776,0.781296,0.0234799,0.0100208,0.0365968,0.00153585,0.12199,0.14769,109
imagery_left_right_fist,eegnet_v4,spearman_d02_vs_width,,,,-0.5,,,0.391002,,,5
paradigm_mean,eegnet_v4,2,646,0.67786,0.589463,0.0883979,0.0767884,0.0993359,3.91014e-18,0.0407572,0.0370902,109
paradigm_mean,eegnet_v4,4,1322,0.72831,0.71062,0.0176903,0.00977327,0.025855,2.10521e-05,0.0522934,0.0690272,109
paradigm_mean,eegnet_v4,8,2770,0.749832,0.729716,0.0201155,0.0121672,0.0284309,2.43729e-05,0.0724567,0.0858702,109
paradigm_mean,eegnet_v4,16,6050,0.742906,0.716512,0.0263938,0.0171627,0.0353522,5.45331e-07,0.109962,0.11977,109
paradigm_mean,eegnet_v4,32,14146,0.750142,0.729181,0.0209605,0.0132145,0.0286186,1.45132e-06,0.135898,0.156255,109
paradigm_mean,eegnet_v4,spearman_d02_vs_width,,,,-0.1,,,0.872889,,,5
real_fists_feet,eegnet_v4,2,646,0.670135,0.606352,0.0637831,0.039536,0.0880337,8.86195e-06,0.0464237,0.035405,109
real_fists_feet,eegnet_v4,4,1322,0.721428,0.704015,0.0174133,0.000808683,0.0337598,0.107526,0.0504293,0.101222,109
